absolutely, безусловно совершенно
accountant, бухгалтер
alone, одинокий; в одиночку
angry, рассерженный недовольный
to answer the phone, отвечать на телефонные звонки
art class, уроки рисования
atmosphere, атмосфера
bakery, пекарня; булочная
beautiful, красивая
bench, лавочка; скамейка
bicycle, велосипед
bike path, велосипедная дорожка
bottle, бутылка
brand store, фирменный; брендовый магазин
café, кафе; кофейня
classroom, класс; классная комната
coffee, кофе
coffee shop, кафе
comfortable, удобный; комфортный
concert, концерт
to count, считать; подсчитывать
day off, выходной день
dentist, стоматолог
desk, письменный стол
dessert, десерт
discount system, система скидок
e-mail, электронный адрес
elevator, лифт
employee, наемный работник
espresso machine, эспрессо-автомат
farmer’s market, фермерский рынок
to feed, кормить
fingerprints, отпечаток пальцев
flower, цветок
food, еда; пища
fountain, фонтан
fresh, свежий
fridge, холодильник
fruit, фрукт
furniture, мебель
future, будущий
garden, сад
gym, тренажерный зал
healthy, здоровый
housekeeper, домработница
intelligent, умный; сообразительный
janitor, дворник; уборщик
library, библиотека
light, легкий; светлый
lock, замок
menu, меню
modern, современный
on strike, на забастовку
on vacation, в отпуск
to paint, красить; рисовать красками
painter, художник; маляр
painting, картина
parking lot, стоянка для машин
party, вечеринка
pizza, пицца
place, место
to plant, сажать; сеять
playground, детская площадка
quiet, тихий
receptionist, секретарь в приемной
repairman, ремонтник; слесарь
residential complex, жилой комплекс
to ride, ездить верхом
robot, робот
salad, салат
shelf, полка
sky, небо
smart, умный; сообразительный
software, программное обеспечение
spa-center, спа-центр
space mobile, космический автомобиль
space park, космический парк
superintendent, завхоз; хозяйственник
swimming pool, бассейн
tasty, вкусный
to update, обновить
vegetable, овощ
virtual reality, виртуальная реальность
walking path, пешеходная дорожка
wall, стена
welcome, добро пожаловать
wi-fi, вай-фай
wi-fi spot, точка вай-фай
yard, двор
