billion, миллиард
about, о; на тему
afraid, боящийся; испуганный
Antarctica, Антарктика
to ask for a raise, просить повышения зарплаты
at all, вообще; совсем
to be careful, будь осторожен
beach, пляж
because, потому что
Belgium, Бельгия
best, лучший
to book, бронировать
Brazilian, бразильский
to bring;brought;brought, приносить
to build;built;built, строить
by the pool, возле бассейна
bye, пока
the Canary islands, Канарские острова
to change, менять; изменять
client, клиент
climate changes, изменения климата
crocodile, крокодил
definitely, определенно
dictionary, словарь
different, разный; не похожий
to dine, обедать
earthquake, землетрясение
to explore, исследовать
to fall;fell;fallen, падать
fancy, модный
five-star, пятизвездочный
for dinner, на ужин
foreigner, иностранец
to forget;forgot;forgotten, забывать
to get a promotion, получить повышение по службе
to get a tan, загореть
to get lost, потеряться
to go downtown, поехать в центр города
to go on a wildlife safari, поехать на дикое сафари
to go shopping, делать покупки
to go to bed, ложиться спать
Russian/Ukrainian speaking countries, страны где говорят на русском/украинском языках
to go to the Moon and back, полететь на Луну и назад
good idea, хорошая идея
to guess, догадываться; полагать
handmade, сделанный вручную
to have problems with, иметь проблемы с
health problem, проблемы со здоровьем
to hold;held;held, держать
Honduras, Гондурас
hopefully, будем надеяться
hostel, хостел
to hug, обнимать
huge, огромный
I will be back, Я вернусь
to improve, улучшать
in a few days, через несколько дней
in the woods, в лесу
island, остров
to lose;lost;lost, терять
man/woman of your dreams, мужчина/женщина вашей мечты
Milan, Милан
Mongolia, Монголия
Moon, Луна
to move to the USA, переехать в США
move star, кинозвезда
museum, музей
next, следующий
No way, ни в коем случае; бесполезно
Oh; well!, О; итак
on the other hand, с другой стороны
on the subway, в метро
on their next vacation, во время следующего отпуска
penguin, пингвин
place, место
planet, планета
pollution, загрязнение
Probably you’re right, возможно вы правы
quickly, быстро
radio, радио
to relax, расслабляться
to rent, арендовать
to run the world, управлять миром
scientist, ученый
seaside, морской курорт
series, сериал
to show pictures, показывать фотографии
singer, певец
single government, единое правительство
so, поэтому
Somalia, Сомали
soon, скоро
souvenirs, сувениры
space ship, космический корабль
to stay, останавливаться
still, все еще
subtitles, субтитры
suitcase, чемодан
Swedish, швецкий
to take the job, принять должность
to talk, разговаривать
technology, технология
That’s just silly, это просто глупо
the airlines, авиалинии
the day after tomorrow, послезавтра
the space, космос
to think;thought;thought, думать
this summer, этим летом
tomorrow, завтра
tomorrow afternoon, завтра после обеда
tonight, сегодня вечером
tour, тур
Turkish, турецкий
to unpack, распаковывать
to use, использовать
volcano, вулкан
to wake up, просыпаться
war, война
to win;won;won, выигрывать
wine, вино
with, с
word, слово
world, мир
Would you like…, Вы бы хотели …
You just don’t know…, Вы просто не знаете…
