accent	- акцент
album	- альбом (музыкальный)
all his life	- всю его жизнь
animal	- животное
apartment building	- жилой многоквартирный дом
astronomy	- астрономия
at a job interview	- на собеседовании о приеме на работу
bachelor	- холостяк
bay	- залив, бухта
(to) be late for	- опоздать на
 (to) break, broke, broken	- сломать
bridge	- мост
to build a website	- создавать веб-сайт
building	- здание
bus driver	- водитель автобуса
by myself	- сам, самостоятельно
car racing	- автомобильные гонки
card	- открытка
(to) catch, caught, caught	- поймать, словить
celebrity	- знаменитость
(to) climb	- карабкаться, залазить на
colleague	- коллега
college	- колледж
computer programmer	- компьютерный программист
conference	- конференция
cool	- крутой, классный
(to) cry	- плакать
Democrats	- Демократы
(to) design	- проектировать
detective	- детектив
(to) dine	- обедать
(to) dye	- красить (волосы, ткань)
engineer	- инженер
essay	- сочинение
factory	- завод, фабрика
famous	- известный
(to) feel fortunate	- чувствовать себя удачливым
festival	- фестиваль
(to) finish college	- окончить колледж
fire	- пожар
fish	- рыба
(to) fly, flew, flown	- летать
for the last three years	- за последние три года
for the past few years	- за последние несколько лет
fortunate	 - удачливый
(to) gain	- набирать
(to) get a haircut	- подстричься
 (to) give a presentation	- устраивать презентацию
(to) go on a date	- идти на свидание
Good things can come from bad situations	- Что-то хорошее может получиться из плохих ситуаций.
(to) Google	- гуглить, искать в поисковике Google
(to) grow up	- расти, вырасти
guitarist	- гитарист
helicopter	- вертолет
high school	- старшая школа
hip hop	- хип-хоп
hostel	- хостел
How many times?	- Сколько раз?
I bet	- Бьюсь об заклад
I didn't get the joke	- Я не понял шутку
I'm 100% sure	- Я на 100% уверен
ice cold water	- ледяная вода
in public	- на публике
interested in	- интересующийся чем-то
It's like that with accents.	- Так бывает с акцентами.
item	- пункт, позиция
journalist	- журналист
(to) laugh at a joke	- смеяться над шуткой
(to) lie	- врать
(to) lose, lost, lost	- терять, проигрывать
lottery	- лотерея
(to) make a duck face	- сделать лицо «уточкой»
 (to) make a speech	- произнести речь
many times	- много раз
medical school	- медицинская школа
memorize	- выучить наизусть
(to) move to	- переехать в
news report	- репортаж
news reporter	- репортер
on the menu	- в меню
over	- более чем
(to) own	- владеть
(to) participate	- участвовать
pet raccoon	- домашнее животное - енот
pier	- пирс
pixie cut	- женская стрижка "под мальчика"
planet	- планета
(to) play sports	- заниматься спортом
(to) play the guitar	- играть на гитаре
Political ideas change overtime	- Политические взгляды меняются со временем
(to) post	- публиковать
pound	- фунт
(to) pretend	- притворяться
proud of	- гордиться
(to) ride, rode, ridden	- ездить, кататься на
(to) ride a horse	- кататься на лошади
sea lion	- морской лев
seafood	- морепродукты
several	- несколько
(to) sing karaoke	- петь караоке
(to) sing, sang, sung - петь
skateboard	- скейтборд
Sometimes you want something new in your life	- Иногда вы хотите чего-то нового в своей жизни
sports car	- спортивная машина
(to) stay out late	- задержаться допоздна
successful	-успешный
sunglasses	- солнечные очки
sunrise	- восход солнца
(to) take a cruise	- совершить круиз, поехать в круиз
teenager	- подросток
tent	- палатка
thin	- худой
(to) travel abroad	- выезжать за границу
(to) travel first class	- путешествовать первым классом
tropical	-тропический
twice	- дважды
under the stars	- под звездами
vase 	- ваза
(to) vote for	- голосовать за
web designer	; веб-дизайнер
(to) win, won, won	- побеждать, выигрывать
with honors	- с отличием
(to) write code	- написать код, программу
You're kidding!	-Ты шутишь!
