a little nervous	- немного нервничающий, волнующийся
age	- возраст
all-you-can-eat restaurant	- ресторан "Ешь Сколько Сможешь", ресторан по принципу шведского стола
alone	- в одиночестве, один
application form	- анкета, заявка
aqua park	- аквапарк, парк водных аттракционов
as you wish	- как пожелаешь(ете)
at that time	- в то время
(to) bathe	- купаться
beach	- пляж
beach party	- пляжная вечеринка
(to) believe	- верить, полагать
bookstore	- книжный магазин
(to) borrow	- одалживать, брать в долг
broken leg	- сломанная нога
by the way	- кстати
cake	- торт
Can I offer some advice?	- Могу ли я предложить совет?
career	- карьера
(to) carry	- носить с собой, нести
(to) catch a cold	- простудиться
cloud	- облако
(to) concentrate on	- сосредоточиться на
(to) do modern dances	-танцевать современные танцы
(to) do traditional dances	- танцевать традиционные танцы
dolphin	-дельфин
(to) draw, drew, drawn	- рисовать (при помощи ручки или карандашей)
(to) drive downtown	- ехать в центр города
 (to) enter the university	- поступить в университет
(to) feel stressed	- переживать, чувствовать перегрузку/стресс
(to) fill out	- заполнять
for the first time	- в первый раз
future	- будущее
garage	- гараж
(to) gather	- собирать
(to) get back	- возвращаться
(to) get older	- становиться старше
(to) go bungee jumping	- заниматься банджи-джампингом, прыжками с канатом
(to) go for an evening walk	- пойти на вечернюю прогулку
Go for it!	- Давай! Так держать!
(to) go on a cruise	- отправиться в круиз
(to) go on safari	- поехать на сафари
(to) go out for lunch	- пойти на обед в ресторан, кафе
(to) go out on a date	- идти на свидание
(to) go outside	- выходить на улицу
(to) go to college	- учиться в колледже
(to) grow up	- расти, вырасти
guest	- гость
(to) have children	- иметь, заводить детей
 (to) have fun	- веселиться
(to) have money on one's phone	- иметь деньги на телефонном счету
(to) help with	- помочь с
high heels	- высокие каблуки
how quickly time flies	- как быстро летит время
(to) hurry	- торопиться, спешить
I'm about to make a very important decision	- Я собираюсь принять очень важное решение
in the future	- в будущем
injured	- пострадавший, травмированный
(to) invite	- пригласить
It's really fun	- Это действительно весело
job interview	- собеседование о приеме на работу
lawn	- лужайка
(to) live away from home	- жить вдали от дома
marathon	- марафон
middle-aged	; среднего возраста
midterm essay	- средне семестровое сочинение
(to) move	- переезжать
(to) mow	- косить, срезать (траву)
neighborhood	- округа, (микро)район, квартал
nervous	- беспокоящийся, нервничающий
(to) pass by	- проходить мимо
person	- человек
pet	- домашнее животное
pet store	- зоомагазин
(to) plan	- планировать
(to) play golf	- играть в гольф
(to) play soccer	- играть в европейский футбол
(to) prepare	- приготовить, готовиться
(to) prepare for	- готовиться к
presentation	- презентация
project	- проект
(to) propose	- сделать предложение руки и сердца
(to) quit, quit, quit	- уходить, увольняться с работы (по собственному желанию)
(to) reach	- достигать
(to) relax	- расслабиться
(to) rent	- арендовать
report	- отчет, доклад
(to) retire	- выходить на пенсию
(to) save money for	- экономить, откладывать деньги на
seashell	- морская ракушка
senior citizen	- пожилой гражданин
shark	- акула
(to) shave	- бриться
soon	- скоро
spa	- спа
speech	- речь
spontaneous	- спонтанный
(to) start a career	- начать карьеру
stone	- камень
(to) stop by	- заскочить, заехать на минутку
(to) sunbathe	- загорать
sunset	- закат солнца
(to) take a cooking class	- брать урок готовки
(to) take it easy	- не напрягаться, расслабиться
tattoo	- татуировка
teenager	- подросток
That will be super!	- Это будет супер!
the other	- другой, остальной
(to) throw a party	- устроить вечеринку
 (to) travel	- путешествовать
(to) update	- обновлять
very much longer	- намного дольше
(to) visit	- посещать
waterfall	- водопад
wedding	- свадьба
wet	- мокрый
Wow!	- Вау! Класс!
you're missing out on all the fun	- ты/Вы пропускаешь(те) все	самое веселое
young adult	- молодой совершеннолетний
