around	- около
at the moment	- в данный момент
bar	- плитка (шоколада)
(to) be close	- быть близким, в близких отно	шениях
bottle	- бутылка
box	- картонная коробка
(to) bring, brought, brought	- приносить
Bulldog	- бульдог
cake	- торт
carton	- картонная упаковка
(to) change	- поменять
cheese	- сыр
coat hanger	- вешалка
coke	- кока-кола
(to) collect	- коллекционировать, собирать
couch	- диван
counter	- столешница
cream	- сливки
cruise	- круиз
cucumber	- огурец
cupboard	- шкаф для посуды, буфет
deodorant	- дезодорант
deserted island	- необитаемый остров
dinner host	- хозяин/хозяйка вечера
divorced	- в разводе
dozen	- дюжина (12 штук)
(to) enjoy oneself	- веселиться, наслаждаться
enough	- достаточно
famous	- известный
favorite	- любимый
filmmaker	- кинорежиссер
fruit	- фрукт, фрукты
(to) fry	- жарить
furniture	- мебель
(to) get, got, gotten	- купить, достать, раздобыть
goblet	- кубок, бокал для вина
guest	- гость
gym	- тренажерный зал
hair tie	- резинка для волос
hallway	- прихожая, холл
(to) have over	- принимать у себя в гостях
helicopter	- вертолет
hobby	- хобби
humanitarian	- гуманитарий, филантроп
I guess	- я полагаю
I'm glad to say	- я рад(а) сообщить
ice	-лед
kitchen	- кухня
knife	- нож
loaf	- буханка
lovely	- прелестный, милый
meat	- мясо
mint	- мята
(to) mix	- смешивать
napkin	- салфетка
net worth	- чистая стоимость активов, состояние
not a problem	- не проблема
olives	- ОЛИВКИ
order	- заказ
pack	- пакет, упаковка
pair	- пара
paper towels	- бумажные полотенца
(to) pick up	- купить
picnic	- пикник
piece	- кусок, кусочек
pizza	- пицца
plate	- тарелка
pot	- чайник
Pug	- мопс
(to) purchase	- приобретать
quite a lot	- достаточно много
rice	- рис
roll	- рулон
salad	- салат
shelf	- полка
slippers	- домашние тапочки
sneakers	- кроссовки
soda	- газировка
sour cream	- сметана
soy sauce	- соевый соус
special	- особый, фирменный
steak	- стейк
still, I'm a little worried	- все же, я немного волнуюсь
store	- магазин
tattoo	- татуировка
tea	- чай
then	- тогда
(to) throw parties	- устраивать вечеринки
towel	- полотенце
tray	- поднос
vegetables	- овощи
villa	- вилла
wine	- вино
winter holiday	- зимний праздник
workout clothes	- одежда для занятий спортом
(to) write down	- записать
