20-percent	; 20-ти процентный
absolutely	- абсолютно
affirmative	- утвердительный
annual	- ежегодный
anymore	- больше не
at all	- вообще, совсем
at the moment	- в данный момент
audience	- публика
baby girl	- новорожденная девочка
back	- спина
best-selling	; ходовой, популярный
bouquet	- букет
bride	- невеста
bridesmaid	- подружка невесты
Can I ask you for a favor?	- могу ли я попросить вас об одолжении?
ceiling	- потолок
clothes	- одежда
(to) complain	- жаловаться
drink	- напиток
e-mail	; адрес электронной почты
exciting	- захватывающий
favor	- одолжение
feet / foot	; ступня, ступни
fiance	- жених
film director	- режиссер
(to) fix	- починить
fun	- веселый, увлекательный
furious	- разъяренный
hallway	- коридор
(to) hand	- передать, вручить
headache	- головная боль
heater	- нагреватель
highway	- шоссе, скоростная трасса
(to) hurt	- болеть, причинять боль
in addition	- в добавок
just	- только что
landlord	- арендодатель
lately	- в последнее время
(to) leak	- течь
(to) lend, lent, lent	- одолжить кому-то
mail	- отправить по почте
negative	- отрицательный
new	- новый, новорожденный
no problem	- без проблем
noise	- шум
novel	- роман
(to) offer	- предлагать
one of these days	- на днях (в будущем)
paint	- краска
(to) pass	- передать
(to) peel	- отслаиваться, отшелушиваться
pizza	- пицца
project	- проект
(to) promise	- обещать
radiator	- отопительная батарея
raise	- прибавка к зарплате
recently	- недавно
(to) recommend	- рекомендовать
refreshing	- освежающий
report	- отчет
right now	- прямо сейчас
serious	- серьезный
several	- несколько
snow	- снег
stomachache	- боль в животе
strange	- странный
supervisor	- руководитель
sure	- конечно
(to) talk on the phone	- говорить по телефону
(to) throw, threw, thrown	- бросать
totally	- конечно, абсолютно
tour	-тур
travel agent	- турагент
water heater	- нагреватель воды
(to) wish	- желат
(to) yell	- кричать
