antique	- антикварный
any kind you....	- какой бы вы ...
(to) assemble	- собирать
(to) bake	- печь
banana	- банан
(to) be in trouble	- быть в беде
(to) book	- забронировать
bread	- хлеб
cake	- торт
camera	- фотаппарат
casserole	- запеканка
chocolate	- шоколадный
(to) cut, cut, cut - нарезать
dog owner	- владелец собаки
e-mail	; электронное письмо
exhausted	- измученный
(to) expect	- ожидать
fashionable	- модный
fast food	- фастфуд
(to) feel cold	- чувствовать холод
first-row	; в первом ряду
five-star	; пятизвездочный
food	-еда
furniture	- мебель
German Shepherd	- немецкая овчарка
glad	- рад
holiday	- праздник
How about....?	- Как насчет....?
huge	- огромный
I haven't thought about it yet	- я еще об этом не
in one day	- через день
jacket	- куртка
(to) jog	- бегать для поддержания формы
landscape	- пейзаж
(to) lie	- лгать, врать
novel	- роман
officer	- офицер
one more	- еще один
(to) order	- заказать
(to) own	- быть владельцем
owner	- владелец
(to) paint	- красить
parking ticket	- штраф за неправильную парковку
part-time	; неполная занятость
(to) pour	- лить, наливать
(to) prefer	- предпочитать
puppy	- щенок
Really?	- В самом деле?
(to) remember	- помнить
row	-ряд
(to) save	- сохранить, приберечь
seat	- сиденье, место
short	- короткий, низкий
star	- звезда
super long	- очень длинный
(to) take care of	- заботиться о
(to) taste	- иметь вкус
tattoo	- тату
teddy bear	- плюшевый мишка
teenager	- подросток
that many	- так много
That would be amazing!	- Это было бы удивительно!
That would be awesome!	- Это было бы здорово!
That would be great!	- Это было бы чудесно!
That would be super!	- Это было бы супер!
three times	- три раза, трижды
time	- раз
tuna	-тунец
twice	- два раза, дважды
two times	- два раза
(to) type	- печатать на клавиатуре
vegetable	- овощ
vegetarian	- вегетарианский
vocabulary list	- словарный список
(to) walk a dog	- гулять с собакой
wedding	- свадьба
whole-wheat	;цельнозерновой
(to) win, won, won	- выиграть
would like	- хотел бы
(to) write a parking ticket	- выписать штраф за неправильную парковку
