action	- действие
adventure	- приключение
(to) alarm	- вызывать тревогу
(to) amuse	- развлекать
(to) annoy	- раздражать
argument	- спор
(to) assist	- помогать
auto mechanic	- автомеханик
auto repair shop	- автомастерская
avalanche	- лавина
(to) baby-sit, baby-sat, baby-sat	;сидеть с ребенком
bathtub	- ванна
(to) bore	- вызывать скуку
bridge	- мост
bully	- задира
(to) buzz around	- жужжать вокруг
(to) call back	- перезвонить
client	- клиент
(to) convince	- убеждать
critic	- критик
(to) cross	- переходить
crowded	- переполненный
(to) deliver	- доставлять
delivery guy	- курьер
did he give you any update?	- он тебе рассказал что-то новое?
(to) dig out	- выкапывать
(to) disturb	- беспокоить
(to) embarrass	- смущать
engaged	- обрученный
(to) excite	- взволновывать
(to) exhaust	- утомлять
fire	- пожар
firefighter	- пожарник
fly	- муха
(to) frighten	- пугать
from under	- из-под
furniture	- мебель
gas	- бензин
(to) go up	- расти
(to) guess	- угадывать
guitar	- гитара
gun	- пистолет
headlights	- фары
(to) hit, hit, hit	- ударять, нагрянуть
hit the brakes	- ударять по тормозам
(to) hold up	- грабить с оружием
in a hurry	- в спешке
informative	- информативный
(to) interest	- интересовать
(to) jump from	- прыгать с
just short of	- прямо перед
kid	- ребенок
kindergarten	- детский сад
(to) knit	- вязать
(to) knock someone out	- сбить кого-то с ног
lap	- круг в бассейне
mace	- слезоточивый газ
marathon	- марафон
midnight	- полночь
(to) move away	- уехать навсегда
much better	- намного лучше
mugger	- уличный грабитель
nearby	- близлежащий
(to) observe	- наблюдать
of course you do	- конечно помнишь
owner	- владелец
painting	- картина
pants	- штаны
paycheck	- чек на заработную плату
person	- человек
(to) pick on	-дразнить
(to) pick up	- забрать, купить
pickpocket	- карманник
plumber	-сантехник
policy	- политика
postcard	- открытка
presidential speech	- президентская речь
puppy	- щенок
(to) put out	- затушить
quadruples	- четверня
radiator	- радиатор
(to) raise voice at	- поднять голос на
realtor	- риелтор, брокер
reason	- причина
rent	- арендная плата
(to) rescue	- спасать
robber	- грабитель
roller coaster	- американские горки
(to) run into	- случайно натолкнуться
(to) scare	- пугать
(to) shock	- шокировать
(to) shove someone's way into	- растолкать себе путь в
situation	- ситуация
sofa	- диван
(to) spill	- пролить
(to) spray	- брызнуть
storm	- шторм, гроза, буря
subway	- метро
sure you do	- конечно помнишь
(to) surprise	- удивлять
sweater	- свитер
symphony	- симфония
(to) talk someone out of	- отговорить кого-то от
(to) terrify	- ужасать
(to) tire	- выматывать
(to) touch	- растрогать
tourist	- турист
update	- новости
vendor	- уличный продавец
voice	- голос
(to) watch	- наблюдать
we just talked for a second	- мы только секунду поболтали
(to) witness	- стать свидетелем
(to) work overtime	- работать сверхурочно
yard	-двор
you definitely do	- определенно помнишь
