area	- область, окрестность
aside from that	- кроме этого
aunt	- тетя
bachelor's degree	- степень бакалавра
bachelor's program	- программа для получения степени бакалавра
(to) be at the sea	- быть в море, быть на море
(to) be away	• быть вдали
(to) be in touch with	- быть в контакте с
(to) be unaware	- не знать, не осознавать
(to) blow up	- взрывать
bowl	- миска, глубокая тарелка
bright	- яркий
brother-in-law	- шурин
bunch	- куча, уйма, горсть
burn	- ожог
cabin	- дачный домик
cake	- торт
calmly	- спокойно
casual	- повседневный
certainly	- конечно
(to) chose... over	- выбрать... перед
 (to) clear up	with	- прояснить... с
(to) come up with	- придумать
completely	- полностью, совершенно
confident	- уверенный
dangerous	- опасный
(to) deal with	- иметь дело с
decision	- решение
dull	- тусклый
dumb	- тупой, глупый
(to) enter Law school	- поступить в юридический колледж
(to) experiment	- экспериментировать
(to) faint	- падать в обморок
fancy	- причудливый
fire	- пожар
flu	- грипп
food	-еда
formal	- формальный, официаль¬ный
fresh	- свежий
(to) get engaged	- обручиться
 (to) go bowling	- поиграть в боулинг
 (to) go surfing	- заниматься серфингом
(to) go without	- обходиться без
groupmate	- одногруппник
(to) handle	- решить, уладить
hazardous	- опасный
high school	- старшие классы
(to) hire	- нанимать на работу
hobby	- хобби
(to) hope	- надеяться
I didn't quite catch that	- я не совсем расслышал
I didn't quite get that	- я не совсем понял
I got you	- я понял тебя
in the area	- в окрестностях, неподалеку
interpreter	- переводчик
lab	- лаборатория
law	- закон
lieutenant	-лейтенант
light	- светлый, легкий
lipstick	- губная помада
locker	- шкафчик на замке
major	- специальность
(to) make good progress	-добиться значительного прогресса
marathon	- марафон
melon	- дыня
misunderstanding	- недоразумение
modern	- современный
nasty	- неприятный, ужасный
nervous breakdown	- нервный срыв
night shift	- ночная смена
ocean	- океан
off	- выходной
old-fashioned	- старомодный
(to) pack	- упаковывать
pants	- брюки
pardon?	- что-что?
pardon me?	- что-что?
(to) perform on the stage	- выступать на сцене
(to) pick up	- забрать
pillow	- подушка
plain	- простой, обычный
promotion	- продвижение по службе
puppy	- щенок
(to) reach	- доставать, дотягиваться
relieved	- испытывающий облегчение
rescuer	- спасатель
rested	- отдохнувший
(to) retire	- уйти на пенсию / в отставку
safe	- безопасный
(to) schedule	- поставить в расписание
scholarship	- стипендия
(to) serve as	- служить на должности
shelf	- полка
shop	- мастерская, бутик
shy	- застенчивый
(to) sign	- подписывать
since	- так как
(to) skip	- пропустить преднамеренно
skirt	- юбка
sleep-deprived	- лишенный сна
slippers	-тапочки
soft	- мягкий
sour	- кислый
speech	- речь
stale	- несвежий
stress	- стресс
(to) sub	- заменять кого-то
substance	- вещество
surprised at	- удивленный чем-то
sweet	- сладкий
sweetheart	- возлюбленный
(to) take a week off	- взять неделю выходных
(to) team up	- объединиться
the Navy	- военно-морской флот
thin	- тонкий
toolbox	- ящик с инструментами
waiter	- официант
what was that?	- что вы сказали?
win the marathon	- выиграть марафон
workshop	- кружок
