(to) adjust	- отрегулировать
as we speak	- пока мы разговариваем
at this very moment	- в этот самый момент
attention	- внимание
auto repair shop	- автомастерская
aware	- знающий, осведомленный
bakery	- пекарня
battery	- аккумулятор
brakes	- тормоза
(to) break down	- сломаться
broken	- поломанный, разбитый
(to) burn	- сжечь
calico	- кошка трехцветка
(to) call about	- звонить по поводу чего-либо
can I help you ?	- чем я могу вам помочь?
careful	- осторожный
cartridge	- картридж
(to) charge (electricity)	- заряжать
(to) charge (money)	- брать плату за
(to) check	- проверить что-либо
(to) check on	- проверить как дела у
(to) choose, chose, chosen	- выбрать
(to) clip	- остригать, подрезать
coat	- пальто
(to) come by	- заходить
computer repair shop	- мастерская по ремонту ком-пьютеров
condition	- состояние
confident	- уверенный
currently	- в настоящий момент, ныне
cute	- милый
diner	- ресторан семейного типа
(to) draw, drew, drawn	- рисовать, чертить
dry cleaners	- химчистка
(to) dry-clean	- поддавать химической чистке
embassy	- посольство
engine	- двигатель
(to) erase	- стирать, вытирать
excellent	- отличный
fine	- превосходный
five or so	- ПЯТЬ или около того
(to) fly a kite	- запускать воздушного змея
front bumper	- передний бампер
(to) go for a drive	- поехать на машине кататься
 (to) hang, hung, hung	- повесить (на что-то)
(to) hang out with	- тусоваться с
hard drive	- жесткий диск, винчестер
headlight	- фара
(to) hold a meeting	- провести встречу
hood	- кузов, капот
however	- однако
I don’t care	- мне все равно
ID (identification document)	- удостоверение личности
I'm sure it will be done by then	- я уверен, он будет готов к тому времени
I see	- понятно
IT guy	- компьютерщик
lawyer	- адвокат
legal document	- юридический документ
(to) let out	- отпускать, расшивать
map	- карта
may I help you?	- я могу вам чем-то помочь?
mechanic	- механик
medicine	- лекарство
native speaker	- носитель языка
no matter	- не важно
oil	- масло (в машине)
(to) operate on	- оперировать кого-то
other	- остальной, оставшийся
(to) park	- парковать
pet shop	- зоомагазин
(to) pick up	- взять, купить, забрать
(to) polish	- полировать
polite	- вежливый
poodle	- пудель
(to) prescribe	- выписывать лекарство
printing office	-типография
(to) process	- обрабатывать
(to) proofread	- вычитать ошибки
rear window	- заднее стекло
(to) receive	- получать
(to) refill	- перезаправлять
(to) repaint	- перекрашивать
repair	- ремонт
(to) repair	- ремонтировать
(to) replace	- заменить
(to) rewrite, rewrote, rewritten	- переписать
rice	- рис
right now	- прямо сейчас
software	- программное обеспечение
stamp	- марка
(to) stay	- оставаться
still	- все еще
(to) stop by	- зайти
tailor	- портной
(to) take in	-ушивать
 (to) take orders	- принимать приказы
(to) take out	- вынимать
tattoo	- татуировка
team	- команда
this very second	- в эту секунду
tight	-тугой
tire	- шина
tools	- инструменты
(to) tune up	- отрегулировать, настроить
(to) update	- обновлять
vet	- ветеринар
visa	- виза
(to) waste time	- тратить время попусту
whatever	- какой бы ни
whenever	- когда бы ни
wherever	- где, куда бы ни
whichever	- какой бы ни
whoever	- кто бы ни
will	- завещание
winner	- победитель
wood	- дерево, древесина
(to) work on	- работать над
wrong	- неправильный,неверный
