according to	- В соответствии c
advice on something	- совет о чем-то
all day long	- целый день напролет
anonymous	- анонимный
appliance	- электрический прибор
ATM (automatic teller machine)	- (банкомат)
bow tie	- галстук-бабочка
broken	- поломанный
(to) bug	- докучать
(to) call	- называть
can I offer you some advice?	- я могу тебе что-то посоветовать?
cash	- наличные деньги
chest pains	- боли в груди
cleaner's	- химчистка
clearly	- четко, ясно
colleague	- коллега
(to) confront	- смотреть в лицо (проблеме, человеку), высказать что-то
(to) cough	- кашлять
(to) cut down on	- сократить потребление чего-либо
deep	- глубокий
(to) deliver	- доставлять
dentist	- стоматолог
due	- истекающий (о сроке)
fashionable	- МОДНЫЙ
(to) fight, fought, fought	- бороться, биться (ir)
 (to) file a complaint	- подать жалобу
frankly	- откровенно говоря
fruit	- фрукт, фрукты
full tank	- полный бак
furious	- разъяренный
gas	- бензин
(to) get out of bed	- встать с кровати
 (to) give someone a break	- дать кому-то отдохнуть
(to) give up	- отказаться от
grades	- оценки
(to) hand in	- сдавать
(to) harass	- докучать
headphones	- наушники
health	- здоровье
hearing	- слух
(to) look through	- смотреть сквозь
(to) mind one's own business	- не лезть в чужие дела
mortgage payment	- ипотечный платеж
(to) move to the country	- переехать в деревню
near here	- тут рядом
neat	- аккуратный
(to) neglect	- пренебрегать
no matter how	- неважно насколько
on strike	- на забастовке
(to) order	- заказывать
other	- другой, другие
parents	- родители
(to) park	- парковать
parking space	- место для парковки
(to) pick up	- забрать
pill	- таблетка, пилюля
polite	- вежливый
(to) put off	- отложить во времени
questionnaire	- анкета
reason	- причина
(to) refuse	- отказаться
responsible	- ответственный
rude to	- грубый по отношению к
rumor	- слух, сплетня
satisfied	- удовлетворенный
(to) see a doctor	- пойти на прием к врачу
 (to) seem	- казаться
serious - 	серьезный
(to) shout at	- кричать на
(to) sign	- подписывать
(to) skip	- пропустить, прогулять
(to) sneeze	- чихать
soda	- газированная вода
(to) spread	- распространять
(to) stay away from	- держаться подальше от
(to) stay up late	- не ложиться спать до-поздна
still	- все еще
(to) stress someone out	- выводить кто-то
stupid	- глупый
(to) suffer from	- страдать от
supervisor	- руководитель
sympathetic	- полный сочувствия
herbal tea	-травяной чай
guess you're right	- я думаю, вы правы
(to) ignore	- игнорировать
insomnia	- бессонница
instead	- вместо чего-то
[to) interfere in / with	- вмешиваться в
is anything the matter?	- что-нибудь случилось?
is anything wrong?	- что-то не так?
it's nothing to joke about	- с этим не шутят
junk food	- нездоровая пища
lake	- озеро
landlord	- арендодатель, хозяин квартиры
lately	- в последнее время
lazy	- ленивый
(to) lie	- врать
light	- легкий, светлый
long distance	- междугородний
(to) take it easy	- относиться спокойно, не усердствовать
 (to) take sleeping pills	- принимать снотворное
(to) take someone to court	- подать на кого-то в суд
(to) tease	- дразнить
teenager	- подросток
(to) tell on someone	- ябедничать на кого-то
(to) tell the truth	- говорить правду
troubled	- беспокойный
(to) try	- пытаться
understanding	- понимающий
urgent	- срочный
vegetables	- овощи
warm	- теплый, тепло
(to) watch one's weight	- следить за весом
what's the matter?	- в чем дело?
(to) yell at	- кричать на (y)
