across the street	- через улицу
agitated	- взволнованный
a little more	- немного больше, еще немного
a little too much	- немного больше нормы
another	- другой, не последний
anxious	- переживающий
(to) apologize	- извиняться, просить прощения
appointment	- прием, деловая встреча
as far as I'm concerned	- насколько я могу судить
as I see it	- по моему мнению
(to) borrow	- занимать, брать в долг
(to) break up with	- порвать отношения с
burned out	- вымотанный
by mistake	- по ошибке
caffeine	- кофеин
(to) catch a cold	- простудиться
 (to) catch a stomach bug	- заболеть расстройством желудка
(to) chase	- гнаться за
(to) cheat	- списывать
concerned	- обеспокоенный
curious	- любопытный
(to) delay	- задерживать
(to) delete	- удалить
dessert	- десерт
dog biscuit	- собачий корм (бисквит)
during	- во время, в течение
(to) eat out	- пойти куда-нибудь поесть
election	- выборы
exhausted	- измученный
(to) explain	- объяснить
(to) fail students	- поставить студентам незачет
(to) fall through	- провалиться через / сквозь
 (to) flunk	- завалить
frightened	- испуганный, напуганный
(to) get stuck	- застрять
 (to) goof off	- валять дурака
(to) grade	- ставить оценки, оценивать
(to) hand in	- сдавать
(to) have a fight with	- поссориться с, подраться с
 (to) have an argument with	- поспорить с
(to) hide,	hid, hidden - спрятать
however	- однако
irritated	- раздраженный
IT guy	- айтишник, компьютерщик
jittery	- нервный, поддающийся панике
(to) jog	- бегать трусцой
ladder	- лестница
lap	- круг, раунд
(to) lock oneself out of	- запереть себя снаружи чего
magazine	- журнал
meal	- приготовленная еда, порция
on the phone	- говорящий по телефону
(to) overcharge	- брать завышенную цену
(to) overestimate	- переоценить
overseas	- за границей
(to) oversleep, overslept, overslept	- проспать
(to) pack	- паковать
pale	- бледный
(to) pass	- сдавать, проходить
pool	- бассейн
poorly	- плохо
(to) refuse	- отказаться
relatives	- родственники
(to) rescue	- спасать
(to) retake, retook, retaken	- пересдать
(to) ring	- звонить
rude	- грубый
(to) say sorry	- попросить прощения
scared	- испуганный, напуганный
(to) shake hands	- пожать руки
to shake, shook, shaken - трясти
(to) shut, shut, shut	- закрыть, захлопнуть
 (to) skip	- пропустить преднамеренно
(to) smile at	- улыбаться кому-либо
spoiled	- испорченный
(to) stay up late	- оставаться допоздна, не ложиться спать допоздна
stomach bug	- расстройство желудка
storm	- буря, сильный дождь
strength	- сила
suit	- костюм
(to) take a break	- сделать перерыв
 (to) take a nap	- вздремнуть
(to) tease	- дразнить
that can't be	- такого не может быть
huge - огромный
I don't know for sure - я не знаю наверняка
I find it hard to believe - мне трудно в это поверить
I personally think - я лично думаю
I'm not so sure - я не так уверен
ice - лед
if you ask me - если вы спросите меня
immediately - немедленно, тотчас
in a good mood - в хорошем настроении
in a tree - на дереве
in my opinion - по-моему мнению
the way i see it - как мне кажется
traffic - автомобильное движение
to train - тренироваться
to wonder - удивляться, интересоваться
to work overtime - работать сверхурочно
worn out - изможденный
to yell at - кричать на
you're probably right - ты, наверное, прав
unhappy - несчастный
