accident	- авария
advanced	- продвинутый, высокого уровня
after	- после
alarm clock	- будильник
all evening long	- весь вечер
almost	- почти
alone	- самостоятельно, один, сам
are you kidding me?	- вы шутите?
arm	- рука, предплечье
back	- спина
baking soda	- разрыхлитель теста, сода
beach	- пляж
beginning	- начинающий
(to) bite, bit, bitten	- укусить
(to) blow up	- взорвать
boat	- лодка
(to) break down	- сломаться (о технике)
 (to) bring someone	- взять / привести с собой кого-то
busy intersection	- оживленный перекресток
by himself	- он сам, самостоятельно
by yourself	- вы сами, самостоятельно
cabin	- деревянный домик на даче
can you imagine?	- можете себе представить?
(to) cancel	- отменить
casino	- казино
(to) catch a bad cold	- сильно простудиться
 (to) cause an accident	- привести к аварии, стать причи¬ной аварии
cell phone	- сотовый телефон
chance	- шанс
(to) cheat on a test	- списывать на тесте
client	- клиент
coat	- пальто
(to) decorate	- украшать
dictionary	- словарь
downtown	- центр города
(to) drive through a red light	- проезжать на красный свет
 (to) drop out of college	- бросить обучение в колледже
(to) drown	- утонуть
during	- в течение
(to) electrocute	- ударять током
(to) evict	- выселить
extremely	- чрезвычайно
(to) fall down	- падать, упасть
 (to) fall through	- провалиться сквозь
(to) feel brave	- чувствовать в себе смелость
financial problem	- финансовая проблема
flight	- полет, рейс
fortunately	- к счастью
full of	- полный чего-либо
(to) gamble	- играть в азартные игры
gate	- ворота
(to) get, got, gotten	- купить, приобрести
(to) get angry	- сердиться
(to) get behind the wheel	- сесть за руль
(to) get electrocuted	- быть ударенным током
(to) get fired	- быть уволенным
(to) get hurt	- пораниться, пострадать
(to) get into an accident	- попасть в аварию
(to) get into an argument	- вступать в спор
(to) get into college	- поступить в колледж
(to) get lost	- заблудиться
(to) get scared	- испугаться
(to) get some sleep	- немного поспать
glycerin	- глицерин
(to) go hiking	- ходить в пешие походы
 (to) go out of business	- выйти из бизнеса
(to) go through a red light	- проехать / пройти на крас¬ный сеет
(to) goof off	- валять дурака
grocery store	- продуктовый магазин
guest	- гость
(to) hand over	- передать
(to) hate	- ненавидеть
heart attack	- инфаркт
how come?	- почему?
I feel the same way	- я чувствую то же самое
in a good mood	- в хорошем настроении
in silence	- в тишине
in the country	- за городом, в деревне
in the rain	- в дождь
ice	-лед
