(to) admire	- восхищаться
agitated	- взволнованный
another	- другой, еще один
appointment	- деловая встреча
are you kidding me?	- вы шутите?
(to) ask for a raise	- просить о повышении
at the last minute	- в последнюю минуту
banana skin	- кожура банана
bar	- бар
beach	- пляж
because of	- из-за
(to) bite one’s nails	- кусать нопги
boat	- лодка
boy!	- ого!
brand	- торговая марка
(to) break up	- порвать отношения с
 (to) browse the Internet	- искать что-то в интернете
building	- здание
by the time	- к тому времени, как
call	- звонок
(to) cancel	- отменить
card tricks	- карточные фокусы
ceremony	- церемония
choir	- хор
(to) collapse	- резко упасть, рухнуть
collection	- коллекция
(to) come down with the flu	- слечь с гриппом
co-worker	- сотрудник
(to) crash	- поломаться (о технике)
cure for cancer	- исцеление от рака
(to) dial	- набирать номер
diary	-дневник
(to) die	- умирать, разряжаться
diet	- диета
different	- различный, другой, отличающийся
disappointed	- разочарованный
(to) discuss	- обсуждать
(to) do poorly on	- плохо справиться с
driver's test	- экзамен по вождению
drunk	- пьяница
even	-даже
factory	- фабрика
(to) fall asleep	- засыпать
fancy	- модный, непростой, дорогой
ferry	- паром
(to) fire	-увольнять
flower pot	- цветочный горшок
(to) fly a kite	- запускать воздушного змея
for more than	- более чем
from top to bottom	- сверху донизу
(to) get, got, gotten	- добираться
(to) get cold feet	- испугаться
(to) get out of	- выйти, выбраться
(to) get ready for	- быть готовым к
(to) get rid of	- избавиться от
(to) go by	- проехать, пройти мимо, рядом
(to) go camping	- идти в поход с палатками
(to) go canoeing	- плавать на каноэ
(to) go kayaking	- плавать на каяке
(to) go off	- выключаться, сойти с
(to) go off a diet	- нарушить диету
(to) go together	- встречаться (в романтическом смысле)
(to) go window-shopping	- рассматривать витрины
grade	- оценка
(to) graduate from	- окончить
graduation ceremony	- выпускная церемония
grant	- грант
helmet	- шлем, каска
hide and seek	- прятки(игра)
how about that!	- как вам это!
how do you like that!	- как вам это нравится!
I can't believe it!	- я не могу 8 это поверить!
I don't believe it!	- я не верю в это!
important	- важный
invitation	- приглашение
is it true?	- это правда?
is that definite?	- это точно так?
isn't that something!	-это что-то!
it's really a shame	- это действительно, очень досадно
(to) knock over	- сбить, перевернуть
lecture	- лекция
(to) look forward to	- с нетерпением ждать чего-то
(to) lose balance	- потерять равновесие
makeup	- макияж, косметика
(to) meditate	- медитировать
neighborhood	- окрестности, район
no kidding!	- ты не шутишь!
no way!	- не может быть!
ocean	- океан
oh, come on!	- ой, да ладно!
parade	- парад
peanut butter	- арахисовое масло
(to) perform	- исполнять
phone died	- телефон разрядился
pizza	- пицца
plane	- самолет
politics	- политика
polka dot	- узор в горошек
(to) postpone	- откладывать
(to) practice	- практиковаться
(to) prepare for	- подготовиться для
psychology	- ПСИХОЛОГИЯ
(to) put together	- организовать, скомпоновать, собирать
raise	- надбавка, повышениe в зарплате
recital	- сольный концерт
(to) rehearse	- репетировать
relatives	- родственники
(to) rent	- арендовать
(to) research	- исследовать
roller coaster	- американские горки
(to) run out of	- истощить запас, израсходовать
(to) sail away	- уплыть под парусами
SAT (Scholastic Aptitude Test)	- тест для приема в высшие учебные заведения в США
science exam	- экзамен по естествознанию
seaside	- побережье
season	- сезон
semester	- семестр
several	- несколько
(to) shave	- бриться
shortcake	- песочное печенье
(to) slip on	- поскользнуться на
stamp	- марка
(to) stare at	- пристально смотреть на
storm	- буря, сильный дождь
strawberry	- клубника
(to) switch to	- переключиться на
(to) take off	- взлететь
 (to) tear, tore, torn - разорвать
that can't be!	- этого не может быть!
that's how it goes	- так бывает
that's the way it goes	• вот как бывает
the same	- один и тот же
(to) throw a party	- устроить вечеринку
tights	- колготки
trip	- поездка
tuxedo	- смокинг
twice	- дважды
unfortunately	- к сожалению
(to) use up	- использовать до конца
(to) walk along	- пройти вдоль
(to) walk back and forth	- ходить взад и вперед
wedding gown	- свадебное платье
well, that's life	- ну, такова жизнь
what do you know!	- да что вы говорите!
(to) work one's way up to the top	- трудом добиться руководящей должности
wow!	- вот это да!
wrong number	- неправильный номер
you have got to be kidding!	- Вы должно быть, шутите!
