absent	- отсутствующий
(to) assassinate	- предательски убить
assignment	- задание
awful	- ужасный
bitter	- горький
burger	- бургер, плоская котлета
burned	- сожженный, пригорелый
can you tell me....?	- вы можете сказать мне ...?
capital	- столица
carpeted	- покрытый ковром
chicken wrap	- куриный рол, шаурма
cigar smoke	- сигарный дым
Civil War	- гражданская война
(to) come by	- проходить, проезжать
couch	- диван, кушетка
could you please tell me ...?	- подскажите пожалуйста ...?
could you possibly tell me...?	- не могли бы вы по возможности сказать мне ... ?
curious	- любопытный
dairy products	- молочные продукты
Declaration of Independence	-Декларация Независимости
delicious	- восхитительный, вкуснейший
deodorant	-дезодорант
dish	- блюдо, посуда
do you by any chance know....?	- вы случайно не знаете .... ?
do you have any idea...?	- вы не знаете ... ?
done	- готовый
electronics store	- магазин электроники
even though	- хотя; несмотря на то, что
fake leather	- искусственная кожа, кожзам
(to) feel, felt, felt	- быть на ощупь
First World War	- Первая Мировая Воина
fresh	- свежий
funny	- смешной, веселый
greyhound	- борзая
grocery store	- продуктовый магазин
I am afraid I don't know...	- боюсь, я не знаю ...
I am not sure ...	- я не уверен ...
I am positive ....	- я уверен ....
I can't remember...	- я не могу вспомнить
I have forgotten ....	- я забыл ....
I have no idea ...	- я понятия не имею
I know ...	- я знаю ...
I know for sure that...	- я точно знаю, что
I'm pretty sure ...	- я довольно-таки уверен, что
(to) invent	- изобретать
knife (knives)	- нож (ножи)
leather	- кожа
license number	- номер машины
(to) look	- выглядеть
Monday through Friday	- с понедельника по пятницу
natural	- природный, естественный
nurse	- медсестра
pear	- груша
perfect	- идеальный
perfume	-духи
personal assistant - личный ассистент
plastic	- пластмассовый, из кожзама
prime minister	- премьер-министр
pronunciation	- произношение
quiz	- викторина, короткий тест
(to) reach at that number	- связаться по тому номеру
ready to go	- быть готовым
restroom	- туалет
rotten eggs	- тухлые яйца
security guard	- охранник
(to) seem	- казаться
shallow	- мелкий, неглубокий
(to) sign	- подписывать
silk	- шелк
(to) slip	- поскользнуться
(to) smell	- пахнуть
(to) sound	- звучать
sour	- кислый
speakers	- динамики
stale	- несвежий, черствый
strange	- странный
(to) taste	- быть на вкус
the measles	- корь
these days	- на сегодняшний день, сейчас
ticket agent	- кассир билетной кассы
(to) wrap	- завернуть, упаковать
towel	- полотенце
(to) write down	- записать
(to) vote for	- проголосовать за
weird	- странный, с причудами
