absent-minded	- рассеянный
(to) adopt - принять в семью, принять идею
after all -	в конце концов
allergic to	- склонный к аллергии на
amateur -	любитель, любительский
as soon as possible (ASAP)	- как можно скорее
(to) balance checkbook -	сводить счет по чековой книжке
band -	музыкальная группа
(to) beat	- побить, победить
besides- 	кроме того, помимо того
boat	- лодка
(to) break engagement -	разорвать помолвку
brilliant- 	блестящий
cafeteria-	кафетерий, столовая
calories-	калории
caramel	- карамель
come to think of it...	- если подумать об этом...
complaint	- жалоба
conceited	- тщеславный, зазнавшийся
concerned	- обеспокоенный
convenient	- удобный
co-worker	- сотрудник
dangerous	- опасный
delicious	- восхитительный
desire	- желание
dolphin	- дельфин
(to) dye	- красить (волосы, ткань)
elegant	- элегантный
elevator	- лифт
engaged	- занятый, помолвленный
even	- даже
exquisite	- изысканный
(to) fall asleep	- заснуть
farm	- ферма
(to) feel welcome	- чувствовать себя как дома
 (to) fill out	- заполнить
(to) fly a kite	- запускать воздушного змея
 (to) go over 55 mph	- ехать быстрее, чем 55 миль в час
good-natured	- добродушный
gorgeous	- великолепный
gray	- серый, седой
ground seeds	- измельченные семена
hair	- волосы,волос
(to) have a crush on	- увлечься, потерять голову из-за кого-то
 (to) have a lot in common	- иметь много общего
(to) hitchhike	- добираться автостопом
honest	- честный
however	- однако
I guess	- я думаю, я полагаю
I have been meaning to tell you	- я как раз хотел сказать вам,
I have noticed...	- я заметил...
I suppose	- я полагаю
I'd rather	- я бы лучше
incredibly	- невероятно
intensive	- интенсивный
it turned out	- оказалось
joke	- шутка
just the right size	- как раз правильный размер
(to) keep up	- не отставать
kindergarten	- детский сад
(to) laugh at	- смеяться над чем-то, кем-то
(to) lift	- поднимать
lively	- оживленный
location -	расположение
lyrics-	текст песни
maroon	- темно-бордовый
monotonous-	монотонный
now, that you mentioned it...	- теперь, когда вы упомянули это...
optimistic	- оптимистичный
out of tune	- не соответствующий мелодии
overseas	- за границей
(to) pay attention to	- обращать внимание на
persimmon	- хурма
(to) pick	- поднять, забрать
promise	- обещание
provocative	- провокационный, вызывающий
punctual	- пунктуальный
quite a few	- довольно много
realistic	- реалистичный
reasonable	- разумный
retreat	-корпоратив
ride	- поездка
right	- правильный, подходящий
ripe	- спелый
Saudi Arabia	- Саудовская Аравия
scary	- страшный
selfish	- эгоистичный
sense of humor	- чувство юмора
(to) serve in Afghanistan	- служить в Афганистане
sincerely	- искренне
(to) sing off-key	- петь фальшиво
(to) sink, sunk, sunk	- тонуть
(to) solve	- решить
spaghetti	- спагетти
spare tire	- запасное колесо
speaker	- оратор
speechless	- безмолвный
spouse	- супруг/а
staff	- персонал
successful	- успешный
suspect	- подозреваемый
(to) take notes	- делать заметки
tart	- терпкий
(to) taste	- быть на вкус, пробовать
tax form	- бланк налоговой декларации
technology	- технология
(to) transfer	- передать, перевести
tuna sandwich	- бутерброд с тунцом
voice	- голос
word	- слово
(to) work out	- тренироваться
would make a nice couple	- из кого-то получится хоро-
