 (to) admit	- признавать
(to) appreciate	- ценить
as a matter of fact	- собственно говоря
bat	- бейсбольная бита
batter	- жидкое тесто
button	- пуговица
(to) change	- переодеться
cloth	- ткань
competition	- конкуренция
cop	- полицейский
(to) crash	- разбить вдребезги
crime scene	- место совершения преступления
criminal	- преступник
damp	- влажный
(to) delay	- задерживать
dentures	- зубные протезы
(to) deny	- запретить
detective	- детектив
do you want me to help you...?	-ты хочешь, чтобы я помог тебе...?
(to) double	- удвоить
dust	- пыль
duster	- пыльник
emergency cone	- аварийный конус
(to) examine	- рассматривать, изучать
extractor	- щипцы
finally	- в конце концов
fingerprints	- отпечатки пальцев
(to) fit, fit, fit	- подходить, примерять
 (to) get to	- приниматься за
gift-wrapping paper	- оберточная бумага для подар-ков
goods	- товары
hacksaw	- ножовка
heavy-duty	- промышленный
(to) highlight	- выделять
housekeeper	- экономка, домработница
(to) insist	- настаивать
(to) investigate	- проводить расследование
it's nice of you to offer	- это мило с твоей стороны, что ты предложил
jack	- домкрат
job hunter	- соискатель работы
(to) keep telling	- продолжать рассказывать
lawn	- газон
(to) let in	- пускать в
let me give you a hand	- позволь мне помочь тебе
let me help you...	- позволь мне помочь тебе...
Listen!	- Послушай!
(to) locate	- найти, обнаружить
lock	- замок
Look!	- Посмотри!
magnifying glass	- увеличительное стекло
microscope	- микроскоп
(to) mow	- косить, стричь
needle	- игла
operating room	- операционная
(to) order	- заказать
pair	- пара
pancake	- блин
paycheck	- платежный чек
(to) pinpoint	- определить, точно указать
pleased	- довольный
pliers	- плоскогубцы
(to) practice	- практиковать
(to) pull out	- вытащить
(to) purchase	- покупать, приобретать
purchase	- покупка
(to) put away	- убрать, отложить в сторону
(to) raise	- вырастить, поднять
(to) realize	- понимать, осознавать
rent	- аренда (стоимость аренды)
(to) retire	- выходить на пенсию
(to) rinse	- ополаскивать
rope	- веревка
screwdriver	- отвертка
(to) seal off	- перекрыть, опечатать
seamstress	- швея, портниха
(to) sew on	- пришить
sewing machine	- швейная машина
(to) ship	- отправить
(to) skype	- говорить по скайпу
soapy	- мыльный
sterile	- стерильный
stick	- палка
(to) stir up	- взбивать
stylus pen	- стилус
(to) suggest	- предложить
superintendent	- завхоз
surgeon	- хирург
swing	- удар с размахом
take-out	- еда на вынос
tape	- лента
tenant - арендатор
term	- семестр
there is no point	- нет смысла в
there is no sense	- нет смысла в
there is no use	- нет пользы в
thread	- нить, нитка
true	- правда
want ad	- объявление о работе
whisk	- венчик
(to) wipe off	- вытирать
wisdom tooth	- зуб мудрости
would you like any help...? - ты бы хотел помощь в... ?
would you like me to help you...?  - ты бы хотел, чтобы я помог тебе ... ?
(to) wrap up	- заворачивать, оборачивать
