(to) adore	- обожать
adult	- взрослый
agreement	- соглашение
air	- воздух
all over the park	- по всему парку
annoying	- раздражающий
as far as I'm concerned ...	- насколько я могу судить ...
ashamed	- пристыженный
assistant	- помощник
automatic transmission	- автоматическая коробка передач
babysitter	- приходящая няня
(to) become a success	- стать успешным
bed time	- время идти спать
blood	- кровь
board	- совет, заседание совета
(to) break, broke, broken	- ломаться, ломать
(to) breathe	- дышать
business partner	- коммерческий партнер
cafeteria	- кафетерий, столовая
can't stand	- не в состоянии терпеть
car washer	- мойщик машин
celebrity	- знаменитость
(to) change tires	- поменять шины
cheerleaders	- группы, подбадривающие болельщиков
chef	- шеф-повар
climate	- климат
(to) clip	- стричь, подстригать
CNN channel	- канал CNN
commercial	- рекламный ролик
 (to) complain about every little thing	- жаловаться на каждую мелочь
constantly	- постоянно
construction worker	- строитель
(to) cooperate	- сотрудничать
curfew	- время, до которого нужно прийти
customer	- клиент
(to) cut in line	- проходить без очереди
 (to) dissolve	- растворять/ся, распускать
(to) do one's nails	- сделать маникюр
doesn't it bother you...?	- тебя не беспокоит ... ?
doesn't it get to you...?	- тебя не задевает ... ?
don't you just hate it...?	- я просто ненавижу, ... ?
downtown	- центр города
earplugs	- затычки для ушей
exclusively	- исключительно
(to) film	- снимать
(to) fine	- штрафовать
(to) follow advice	- последовать совету
fresh	- свежий
(to) get accustomed	- привыкнуть
 (to) get used	- привыкнуть
government	- правительство
graphic designer	- графический дизайнер
groomer	- собачий парикмахер
impossible	- невозможный
In a heartbeat	- мгновенно, сразу же
In public	- публично
inexperienced	- неопытный
interior designer	- дизайнер интерьера
intern	- интерн
internship	- интернатура
(to) interrupt	- прерывать
just	- просто
(to) keep an eye on	- следить за
(to) keep kids up past midnight	- не укладывать детей спать за полночь
(to) keep quiet	- молчать
(to) leave dishes overnight	- оставлять посуду, тарелки на ночь
leftovers	- остатки пищи, несъеденная пища
(to) let dog go loose	- позволять собаке гулять без поводка
 (to) loan	- давать кредит
(to) lower taxes	- снизить налоги
maid	- горничная
management	- управление,начальство
manicurist	- маникюрша
meat	- мясо
midnight	- полночь
negotiations	- переговоры
neighborhood	- окрестности, соседняя территория
Olympics	- Олимпийские игры
over the past year	- за прошедший год
pal	- приятель
past curfew	- позднее положенного времени
pet	- домашний любимец
(to) photoshop	- воспользоваться программой Фотошоп
(to) play frisbee	- запускать летающую тарелку
(to) polish	- отполировать
poodle	- пудель
prime time	- лучшее время
(to) promote products	- продвигать продукты
(to) put to bed	- уложить в постель
ranch	- ранчо, ферма
razor blade	- лезвие бритвы
(to) refurnish	- обставить новой мебелью
report	- отчет
(to) retile	- положить новый кафель
roommate	- сосед по комнате
(to) run out of	- закончиться (о чем-то)
(to) share	- делить
(to) sharpen	- затачивать
(to) show off	- выделываться, хвастаться
silverware	- столовое серебро
sink	- раковина, умывальник
(to) snore	- храпеть
(to) speak out of turn	- говорить вне очереди
spelling mistake	- орфографическая ошибка
(to) sponsor	- спонсировать
stick shift	- ручная коробка передач
(to) strike, stroke, stroke	- бастовать
stylist	- стилист
(to) take a nap	- вздремнуть
(to) take in	- ушивать
(to) take notes	- делать заметки
teenager	- подросток
(to) throw litter	- разбрасывать мусор, мусорить
to me...	- как по мне...
top secret	- совершенно секретный
(to) treat	- обращаться
(to) treat someone like a baby	- обращаться с кем-то, как с маленьким ребенком
truck driver	- водитель грузовика
vegetarian	- вегетарианский
(to) wax	- натереть воском
(to) work overtime	- работать сверхурочно
