absolutely	- абсолютно
accidentally	- случайно
accountant	- бухгалтер
adhesive	- клейкое вещество
agitated	- взволнованный, возбужденный
(to) air out	- проветривать
(to) apologize	- извиняться
(to) argue	- спорить
(to) arrange	- организовывать, расставлять
arrow	- стрелка
(to) assemble	- собирать, составлять
assistant	- помощник
astonished	- изумленный
auditorium	- аудитория
bachelorette party	- девичник
burner	- горелка
can	- жестяная банка
(to) change the oil	- менять масло в машине
(to) chat	- болтать
chief engineer	- главный инженер
Christmas tree	- рождественская елка
circuit board	- монтажная плата, электрическая плата
(to) clean up	- приводить в порядок
column	- колонка
component	- компонент, деталь
concerned	- обеспокоенный
confidential	- конфиденциальный
connect	- подключать, соединять
(to) copyright	- защищать авторские права
cute	- милый
data	- данные
(to) decorate	- украшать
defensive	- оборонительный
display	- витрина
(to) drip	- капать
(to) drive someone crazy	- сводить кого-то с ума (в плохом смысле)
editor	- редактор
electrician	- электрик
embarrassed	- смущенный
(to) enter	- вбивать, вносить
fat	- жир, жирный
faucet	- кран
(to) feed the paper into the printer - класть бумагу в принтер
(to) fry	- обжаривать, жарить
(to) get down to  - приступить к
glasses	- очки
goods	- товары
grateful	- благодарный
(to) grease	- смазывать жиром
hardware engineer	- инженер по оборудованию
heating element	- нагревательный элемент
(to) hook up	- подключать
I'm not really sure what	- я не совсем уверен, что
needs to be done in order to...	- должно быть сделано для того, чтобы...
ID (identification document)	- удостоверение личности
if only I had learned these things earlier	- если бы только я узнал это раньше
in order to	- для того, чтобы
(to) install	- установить
irritated	- раздраженный
janitor	- уборщик
(to) label	- клеить ярлыки
laptop	- портативный компьютер
(to) line up	- выстраивать на одной линии
(to) make fun of	- высмеивать
 (to) move away from	- отойти подальше от
operator	- оператор
orientation	- ориентация, вводный тренинг
pan	- сковородка
(to) pay the fine	- оплатить штраф
personal	- персональный, личный
pipe	- труба
(to) place	- размещать
(to) plug in	- подключать, вставлять в ро¬зетку
plumber	- водопроводчик, сантехник
(to) post	- опубликовать
printout	- распечатка
puppy	- щенок
(to) put in	- вставить, установить
relieved	- испытывающий облегчение
(to) replace	- заменить
scrap paper	- бумага для черновиков
screen	- экран
(to) set up	- устанавливать
 (to) shut up	- замолчать (жаргон)
snapshot	- любительский снимок
socket	- розетка
software	- программное обеспечение
(to) solder	- паять
some sort of	- своего рода
(to) stack up	- складывать друг на дружку
sticker	- наклейка
store clerk	- клерк в магазине
store manager	- менеджер в магазине
stove	- плита
supposed to	- должен; предписано, что
(to) take risks	- идти на риск
thanks for giving me a heads up	- спасибо, что предупредил
thanks for telling me	- спасибо, что сказал
that's easier said than done	- это легче сказать, чем сделать
too close - слишком близко
toy train - игрушечный поезд
trash - мусор
(to) travel the world - путешествовать по миру
(to) type in - вводить текст, впечатывать
(to) update - обновлять
utility worker - разнорабочий
washer - резиновая шайба для монтажа крана
we all learn sooner or later - мы все учимся рано или поздно
why don't we get down to...? - почему бы нам не взяться за ...?
wire - провод
you're supposed to... - ты должен, тебе предписано
