(to) afford	- позволять себе
all over	- повсюду, везде
approval	- согласие
are you with me on this?	- вы со мной согласны по этому поводу?
(to) ask for a promotion	- просить о повышении в должности
(to) break the diet	- нарушать диету
 (to) break up	- порвать отношения
(to) call off	- отозвать, отменить
can't stand	- не мочь терпеть
(to) change one's mind	- передумать
corn chowder	- кукурузный густой суп
dentist's drill	- сверло стоматолога
dessert	- десерт
do you hear me?	- ты меня понимаешь?
do you know what I mean?	- вы знаете, что я имею в виду ?
driver's license	- водительское удостоверение
Empire State building	- один из небоскребов Нью Йорка
(to) encourage	- поощрять
energetic	- энергичный
fight	- ссора, драка
for the rest of my life	- до конца моей жизни
for too long	- слишком долго
(to) free up	- освободить
(to) get carsick	- укачаться в машине
 (to) get hurt	- пораниться
(to) get in shape	- приобрести хорошую физическую форму
(to) get into trouble	- попасть в беду
(to) give detention	- оставлять под домашним арестом, отстранять от занятий
(to) give one's cold to someone	- заразить кого-то простудой
 (to) graduate	- выпускаться из учебного заведения
guinea pig	- морская свинка
(to) hang	hung, hung - повесить
 (to) have second thoughts	- сомневаться
 (to) have trouble	- иметь проблемы, трудности
I couldn't agree with you more	- не могу с тобой не согласиться
in the suburbs	- в пригороде
JFK airport	- аэропорт Джона Ф. Кеннеди
(to) keep quiet	- молчать
laundry	- белье для стирки
(to) lie, lay, lain	- лежать
lobby	- лобби, холл
(to) lose, lost, lost	-терять, проигрывать
Manhattan	- Манхеттен
memory	- память
mutt	- дворняжка, помесь пород
novel	- роман
pajamas	- пижама
(to) pat	- гладить, похлопать
(to) pick on	- дразнить кого-то
(to) post on Facebook	- опубликовать на Facebook
(to) pressure	- давить на кого-то
principal 	- директор школы
(to) print out	- распечатывать
promotion	- продвижение по службе
reason	- причина
(to) refuse	- отказаться
(to) regret	- сожалеть
(to) ruin	- разрушить, испортить
sand	- песок
see what I mean?	- понимаешь, что я имею в виду?
(to) set the table	- накрывать на стол
 (to) sharpen	- точить, делать острым
(to) slobber	- испачкать слюнями
sound	- звук
spices	- специи
(to) stay away	- держаться подальше
(to) stay in bed	- оставаться в постели
(to) stay inside	- оставаться внутри
(to) stay up	- долго не ложиться спать
(to) stick to the diet	- придерживаться диеты
 (to) surf the web	- искать что-то в интернете
the whole time	- все время
(to) throw a party	- устроить вечеринку
 (to) throw a tantrum	- закатить истерику
top	- верхний, верхушка
tropical	- тропический
view of NYC	- вид на Нью-Йорк
waterproof	- водонепроницаемый
you took the words right out of my mouth	- ты вырвал эти слова из моих уст
you're absolutely right	- ты абсолютно прав
you're with me, right?	- ты со мной согласен, правда?
yogurt	- йогурт
zucchini	- цуккини (кабачок)
