acquaintance	- знакомый
agreed	- согласен
algebra	- алгебра
allergic	- склонный к аллергии
(to) argue	- спорить
astronomy	- астрономия
(to) bark at	- лаять на
(to) be in a bad mood	- быть в плохом настроении
 (to) be in love	- быть влюбленным
behind schedule	- отстающий от графика
bride	- невеста
(to) call off	- отменить, отозвать
casual	- обычный, ежедневный, повсе¬дневный
(to) catch up with	- поделиться последними новостями
client	- клиент
(to) come up	- вставать (о солнце)
 (to) commute	-добираться на работу
cupcake	- кекс, пирожное
(to) date	- встречаться (в романтическом смысле)
day care	- группа продленного дня
day off	- выходной
dentist's drill	- сверло стоматолога
dressed up	- нарядно одетый
ex-girlfriend	- бывшая девушка
(to) extend	- продлить
favorite	- любимый
food poisoning	- пищевое отравление
(to) gamble	- играть в азартные игры
(to) get into a fight	- лезть в драку
 (to) get mad	- злиться
(to) get tired of	- уставать от
go figure	- пойди пойми
(to) go hiking	- пойти в поход
 (to) go on a diet	- сесть на диету
(to) go out of business	- выйти из бизнеса
gossip	- сплетни
(to) gossip	- сплетничать
groom	- жених
grumpy	- сварливый
hallway	- прихожая, коридор
(to) hold hands	- держаться за руки
I wonder	- мне интересно...
I've got no clue	- без понятия
(to) increase	- увеличиваться
(to) ignore	- игнорировать
(to) lie, lay, lain	- лежать
like crazy	- как сумасшедший
(to) mow the lawn	- косить газон
out of the country	- не в стране, за пределами страны
outdoors	- на открытом воздухе, на улице
(to) party	- веселиться на вечеринке
perfume	- Духи
perhaps	- возможно
professional	- профессиональный
profit	- прибыль
(to) purchase	- покупать
(to) quit, quit, quit	- бросать, уходить
realtor	- агент по продаже недвижимости
(to) run around	- бегать по
 (to) run for presidency	- баллотироваться в президенты
(to) sneeze	- чихать
sofa	- диван
software	- программное обеспечение
some day	- когда-нибудь
sounds rational	- звучит логично
space	- пространство, место, космос
spare time	- свободное время
(to) spread	- распространять
stadium	- стадион
(to) starve	- голодать
(to) stop by	- зайти в гости
storm	- буря, сильный дождь
stuck in traffic	- застрявший в пробке
stupid	- глупый
suburbs	- окрестности
(to) take care of	- заботиться о
tax	- налог
telescope	- телескоп
temporarily	- временно
(to) work around the house	- работать по дому
(to) work out problems	- решить проблемы, задачи
wrong	- неправильный, неверный
you have a point there	- ты прав в этом
zoo	- зоопарк
