 (to) accept	- принимать
agenda	- повестка дня
alarm clock	- будильник
announcer	- диктор
(to) approve	- одобрять
are you saying...?	- ты говоришь...?
audience	- аудитория, публика
(to) be aware of	- быть в курсе, быть осведомленным
(to) be in the mood	- быть в настроении
(to) be out of money	- быть без денег
(to) be pleased with	- быть довольным
board members	- члены правления
cactus plant	- растение кактус
cage	- клетка
cash	- наличные
(to) come over	- прийти в гости
compass	- компас
cotton	- хлопок
date	- свидание
dessert	- десерт
disease	- болезнь
do you mean to say...?	- вы имеете в виду...?
does that mean...?	- это значит...?
economics	- экономика
encore	- на бис
entire	- весь, целый
(to) escape	-убежать, вырваться, совершить побег
(to) feel "under the weather"	- плохо себя чувствовать
(to) fill up	- заполнить
(to) fit into	- вписываться в, влезать в
(to) flunk	- завалить
gas	- бензин
(to) give up	- отказаться от
 (to) hand in	- сдавать
(to) have one's hands full	- иметь много всего в руках
I (really) blew it!	- я (действительно) все испортил !
I (really) goofed!	- я (действительно) сглупил!
I made a terrible mistake!	- я сделал ужасную ошибку!
I'm entirely to blame!	- винить стоит только меня!
illegally	- незаконно
in advance	- заранее
irritable	- раздражительный
it's all my fault!	- это все моя вина!
job offer	- предложение о работе
junior	- младший
khakis	- брюки хаки
(to) let in the house	- пустить в дом
 (to) lock	- закрывать замок
(to) memorize	- запомнить
mortgage	- ипотека, долговой заем
needless to say	- не стоит говорить, что
(to) neglect	- игнорировать
(to) notice	- замечать
notice	- уведомление
nursery school	- детский сад
on the spot	- на месте, сразу
over the weekend	- на выходные
(to) pack	- паковать
performance	- выступление
printout		- распечатка
(to) put off		- отложить на время
raincoat		- плащ
rare		- редкий
(to) re-elect		- переизбрать
relatives		- родственники
(to) renew		- продлить, возобновить
(to) review		- делать обзор
(to) ring,	rang, rung	- зазвонить, звенеть
roast		- жаркое
(to) run by		- пробегать мимо
 (to) run out of		- закончиться
(to) run out of power		- разрядиться
(to) search		- искать
seat		- сиденье, место
security person		- охранник
(to) set off the metal detector	- заставить металлоискатель засигналить
 (to) set the timer		- установить таймер
(to) shrink, shrank, shrunk		- уменьшиться в размере
situation		- ситуация
tank		- бак
textbook		- учебник
timer		- таймер
(to) trust		- доверять
unexpectedly		- неожиданно
whatsoever		- какой бы то ни было, как бы то ни было
without		- без
(to) wonder		- интересоваться
