ad, реклама; объявление
to add, добавлять
to  appreciate, ценить
article, статья
to bake, печь
because, потому что
to block, блокировать; препятствовать
blog, блог
boss, босс; шеф
to break up, расходиться (семья отношения)
to celebrate, праздновать
chef, шеф-повар
Christmas tree, рождественская елка
client, клиент
college, колледж
company, компания; фирма
corporate, корпоративный
Cloud you; please…, Не могли бы вы пожалуйста
to create, создавать
customer, клиент; покупатель
dentist, стоматолог
to design, разрабатывать; проектировать
to discuss, обсуждать
to do my best, делать все что возможно
to draw;drew;drawn, рисовать
to drive people around, возить людей
driver’s license, водительские права
email, электронный адрес
employee, служащий
expensive, дорогой
to fall;fell;fallen, падать
to find a place to live, найти жилье
to finish, заканчивать
free, бесплатный; свободный
freelancer,внештатный сотрудник
to get;got;gotten, получить; стать
to get wet, промокнуть
to give a presentation, давать презентацию
to google, искать в гугле; гуглить
heavy, тяжелый; толстый
holiday, праздник
I appreciate it, Я ценю это
important, важный
to improve, улучшать
in a couple of days, через несколько дней
in an hour and a half, через полтора часа
in half an hour, через пол часа
information, информация
interview, интервью
job, работа
job interview, интервью по работе
to jump, прыгать
to live close to, жить неподалеку от
living room, гостиная
to look for, искать
New Year’s Eve, канун нового года
next, следующий
no problem, без проблем
one of these days, на днях (в будущем)
to order, заказывать
out of the window, из окна
to paint, красить; рисовать красками
partner, партнер
party, вечеринка
to pay;paid;paid, платить
to plant, садить; растить
to prepare, готовить; подготавливать
to present, дарить
presentation, презентация
product, продукция; продукт
project, проект
promotion, продвижение по службе
really, действительно; на самом деле
to repair, ремонтировать
to reply, отвечать
result, результат
to save money for, откладывать деньги на
to shoot a movie, снимать фильм
to show;showed;shown, показывать
to skype, разговаривать по скайпу
soon, скоро
speech, речь
strategy, стратегия
strawberries, клубника
sure, уверенный
to take a picture, фотографировать
to take a vacation, брать отпуск
to take dance lessons, брать уроки танцев
to test, тестировать
the day after tomorrow, послезавтра
thing, вещь
to throw;threw;thrown, бросать
top, вершина
to translate, переводить
to travel, путешествовать
to update, обновить
urgent, срочный
vegetarian, вегетарианец; вегетарианский
Watch out!, Осторожно!
website, вебсайт
without, без
to work from home, работать из дому
to work on, работать над чем то
to work with, работать с чем-то, кем-то
yoga class, тренировка по йоге
