allergic to	- страдающий от аллергии на
apartment	- квартира
awesome	- классный, потрясающий
banner	- баннер, плакат
blond	- блондин
boring	- скучный
(to) break, broke, broken	- сломать
bright	- яркий
celebration	- праздник
cheese	- сыр
(to) chill	- расслабляться, отдыхать
chocolate	- шоколад
(to) clean up	- прибраться, навести порядок
coffee table	- кофейный столик
college party	-университетская вечеринка
cookie	- печенье
Cool!	- Круто!
cute	- милый
dance music	-танцевальная музыка
degree	- ученая степень
diet soda	- диетическая содовая, газировка
dirty	- грязный
(to) donate	- пожертвовать
dress	- платье
energetic	- энергичный
Engineering	- инженерия
fancy	- модный, нарядный, не простой
(to) feel great about some thing	- чувствовать себя отлично по поводу чего-то
fruit	- фрукт, фрукты
garage	- гараж
garbage	- мусор
(to) get ready	- собираться
(to) hang up	- развесить, повесить
(to) happen	- происходить, случаться
Happy Birthday	- С Днем Рождения
high heels	- высокие каблуки
hoodie	- толстовка с капюшоном, худи
huge	- огромный
in a hurry	- в спешке
in a second	- через секунду
IQ	- Ай-Кью, коэффициент интеллектуального развития
jacket	- куртка, жакет, пиждак
jazz	- джаз
(to) knock on	- постучать
(to) leave, left, left	- уходить, покидать
lifestyle	- стиль жизни
lipstick	- губная помада
(to) look awesome	- выглядеть потрясающе
magazine	- журнал
make up	- макияж
meat	- мясо
messy	- беспорядочный
music	- музыка
natural	- природный, натуральный
nature protection	- охрана природы
once a year	- раз в год
(to) own	- владеть
pants	- брюки
perfect	- идеальный
(to) pick out	- выбирать
(to) pick up	- покупать, захватывать
(to) play soccer	- играть в футбол
present	- подарок
(to) put away	- убирать/прятать (на место, в шкаф), откладывать
(to) put on	- надеть
quiet	- тихий
I regularly	- регулярно
(to) ride, rode, ridden	- ездить, кататься на
See you at the party then	- Тогда увидимся на вечеринке
(to) set up	- устанавливать
several	- несколько
simple	- простой
(to) smile	- улыбаться
snack	- закуска
sneakers	- кроссовки
stereo system	- стерео система
store	- магазин
strange	- странный
stylish	- стильный
(to) take off	- снимать
(to) take out	- выносить
(to) throw away	- выкидывать, выбрасывать
top	- топ, обобщает всё, что надевается сверху: свитера, рубашки, кофты, майки, блузки
(to) try on	- примерять
(to) turn off	- выключить
(to) turn up	- сделать погромче
vegan	- веганский
(to) wait for	- ждать
wine	- вино
winter clothes	- зимняя одежда
(to) write down	- записать
