appliance	- кухонный электрический прибор
Are you 100% sure?	- Ты на 100% уверен?
arrangements	-договоренности, приготовления
article	- статья
attractive	- привлекательный
bad-tempered	; раздражительный
boxing	- бокс
bright	- сообразительный
capable	- способный
certainly	- конечно
cheap	- дешевый
comfortable	- удобный (в физическом смысле)
complaint	- жалоба
congressman	- конгрессмен
convenient	- удобный (по времени, расположению)
crossword puzzle	- кроссворд
(to) date	- встречаться, ходить на свидания
delicious	- восхитительный
dependable	- надежный
desktop	- стационарный компьютер
diner	- ресторан семейного типа
(to) do a good job on	- хорошо выполнить работу
(to) do yoga	- заниматься йогой
Don't be ridiculous!	- Не придумывай! Не говори глупости!
down the street	- вниз по улице
effort	- усилие
energetic	- энергичный
excuse	- оправдание, уважительная причина
fan	- вентилятор
fancy	- нарядный, необычный
fashionable	- модный
(to) fire	- увольнять
friendly	-дружелюбный
funny	- смешной
fur	- мех
fuss	- суета, шум
generous	- щедрый
(to) go out with	- пойти на свидание с
(to) guess	- предполагать, полагать
handsome	- красивый (о мужчинах)
helpful	- полезный, услужливый
(to) hire	- нанять
home entertainment product	- домашние товары для развлечения
honest	- честный
How come?	- Почему же?
I have made my decision and I will stick to it.	- Я принял решение, и я собираюсь ему следовать.
I see your point.	- Я понимаю твою точку зрения.
in addition	- к тому же, вдобавок
in my opinion	; по-моему
independent	- независимый
intelligent	- умный (i)
lazy	- ленивый
leather	- кожа
list	- список
location	- расположение
(to) make a complaint	- подать жалобу
(to) make a fuss	- поднять шум, суету
(to) make a list	- составить список
(to) make an effort	- прилагать усилия
(to) make arrangements	- сделать приготовления
(to) make coffee	- сделать кофе
(to) make friends	- подружиться
(to) make the bed	- застелить кровать
modern	- современный
neat	- опрятный
nourishing	- питательный, калорийный
novel	- роман
patient	-терпеливый
(to) pick out	- выбирать
pilates	- пилатес
plasma TV	- плазменный телевизор
powerful	- мощный
(to) promise	- обещать
pronunciation	- произношение
(to) purchase	- приобретать
quiet	- тихий
rabbit	- кролик
reasonable	- разумный
recipe for fruitcake	- рецепт фруктового торта
relaxing	- расслабляющий
ridiculous	- смешной, глупый, несуразный
rocking chair	; кресло-качалка
rude	- грубый
(to) settle on	- остановиться на
sloppy	- небрежный
smart	- умный(s)
stubborn	- упрямый
suede	- замшевый, замша
(to) take a course with	- прослушать курс обучения у
up the street	- вверх по улице
(to) vote	- голосовать
what do you like better?	- что тебе больше нравится?
who do you like better?	- кто тебе больше нравится?
