according to	- в соответствии с
accurately	- точно
actually	- на самом деле
annoyed	- раздраженный
as I used to	- как раньше
awkwardly	- неуклюже
(to) be out of shape	- быть в плохой физической форме
(to) borrow	- занимать (действие к себе)
Can you spare...?	- Ты можешь обойтись без ...?
carefully	- осторожно
carelessly	- неосторожно, беспечно
clearly	- ясно
creative	- творческий
(to) do well on the job	- преуспевать на работе
emotional	- эмоциональный
energetically	- энергично
enough	- достаточно
enthusiastically	- с энтузиазмом
(to) fail	- провалить
fancy	- модный, необычный
fashionable	- модный
fierce	- неистовый, свирепый, лютый
(to) file	- подшивать документы
fluently	- бегло
furthermore	- более того
(to) give someone an F	- поставить кому-то двойку
gracefully	- изящно, грациозно
here comes...	- вот идет (подходит, подъезжает)…
I really mean it!	- Я действительно так считаю!
impolitely	; невежливо
in addition	- к тому же, вдобавок
in general	- в целом, в общем
ink;	чернила
intelligent	- умный(i)
(to) land	- приземляться
(to) lend, lent, lent	- дать взаймы (действие от себя)
(to) lose the game	- проиграть игру
neater	- аккуратнее, более аккуратно
neatly	- аккуратно
otherwise	- в противном случае
passer-by	; прохожий
rubber band	- круговая резинка, резинка для денег
sloppily	- небрежно, неряшливо
softly	- мягко
(to) spare	- обходиться без, дать то, чего у Вас много
take as many as you want	- возьмите столько, сколько вы хотите (для исчисляемых)
take as much as you want	- возьмите столько, сколько вы хотите (для неисчисляемых)
That is so not true!	- Это такая неправда!
That is wrong!	- Это неправильно!
there goes...	- вон уходит (уезжает, отходит)...
thoughtful	- вдумчивый
(to) try a little harder	- постараться немного больше
(to) type	- печатать, набирать на клавиатуре
typing paper	- бумага для печати
You're just saying that!	- Ты просто так говоришь!
You're wrong!	-Ты ошибаешься!
