(to) асе	; получить наивысшую оценку
acne	- акне
all day long	- весь день
all week long	- всю неделю
(to) arrive	; прибывать, приезжать
(to) bake	- печь
baker	- пекарь
bakery	- пекарня
ballet dancer	- балерина, балерун
bath bomb	- бомбочка для ванны
believe it or not	- веришь или нет
best friend	- лучший друг
borsch	- борщ
boxer	- боксер
boxing career	- боксерская карьера
boxing lesson	- урок бокса
broomstick	- метла
buddy	- приятель
bunny	- кролик
burger	- бутерброд
career	- карьера
celebrity	- знаменитость
certainly	- конечно
cherry	- вишневый
(to) compete	- конкурировать, соревноваться
confidently	; уверенно
conservative	- консервативный
criminal	- преступник
cupcake	- кекс
dark circles and bags	; темные круги и мешки
definition	; определение
differently	- иначе
(to) do well at something	;достигать успеха
during the week	- в течение недели
(to) dye	- красить
employee	- сотрудник
even	-даже
exhausted	- изможденный
experience	- опыт
feather	- перо
(to) fire v	- увольнять
first	- первый
(to) follow up with	- подкрепить, дополнить
foolish	- глупый
for a while	- некоторое время
for days	- в течение нескольких дней
for over an hour	- в течение более часа
for quite a long time	- в течение довольно длительного времени
for some time	- в течение некоторого времени
forever	- целую вечность
fourth	- четвертый
French fries	- картофель фри
furthermore	- кроме того
(to) get a good night's sleep	-хорошо выспаться ночью
(to) give raises	- повысить зарплату
(to) go on a diet	- сесть на диету
(to) go out dancing	- пойти на танцы
(to) have no money	- не иметь денег
(to) have time for something	- иметь время для чего-то
healthy	- здоровый
hobby	- хобби
host	- хозяин,хозяйка
in addition	- к тому же
(to) interview	- брать интервью
it's just like	- это так похоже на
it's not like	- это не похоже на
jam	- джем, варенье
job interview	- собеседование по работе
(to) jog	- бегать для поддержания формы
journalist	- журналист
junk food	- нездоровая пища
(to) knit	- вязать
lap	- круг в бассейне
(to) live without	- жить, обходиться без
(to) look	- выглядеть
macrame	- макраме
magical	- волшебный
medicine	- лекарство
(to) mend	- чинить, штопать
mid-term exam	; средне семестровый экзамен
millionth	- миллионный
modeling agency	- модельное агентство
next time	- в следующий раз
No kidding?	- без шуток?
no wonder	- неудивительно
parrot	- попугай
photo studio	- фотостудия
photography	- фотография
(to) pick	- собирать, рвать
pirate	- пират
pistachios shell	- скорлупа от фисташек
(to) practice	- практиковать
(to) prepare for	- подготовиться для
previous	- предыдущий
professional	- профессиональный
(to) protect	- защитить
punk-rock concert	; панк-рок-концерт
(to) raise	- повышать, поднимать
(to) realize	- понимать, осознавать
(to) review	- повторять
second	- второй
(to) shout at	- кричать на
sick days	- больничный
since early this morning	- с раннего утра
snow globe	- снежный шар
socks	- носки
storm	- буря
superpower	- суперсила
sweater	- свитер
(to) swim laps	- плавать кругами
 (to) take a break	- сделать перерыв
 (to) take a mid-term exam	; сдавать средне семестровый экзамен
(to) take photographs	- делать фотографии
(to) take videos	- снимать видео
talk show	- ток-шоу
tennis racket	- теннисная ракетка
thank-you note	; благодарственное письмо
the night before	- в предыдущую ночь, предыдущим вечером
the Olympics	- Олимпийские игры
third	- третий
top student	- лучший ученик
tornado	- торнадо
tournament	- турнир
umpteenth	- энный, который
warm-up exercises	; упражнения для разминки
worn out	- изношенный, вымотанныи
yoga	- йога
