advice	- совет
ankle	- лодыжка
(to) appreciate	- ценить
(to) argue	- спорить
arm	-рука
(to) avoid	- избегать
back	- спина
bagel	- бейгл, булочка с дыркой
balcony	- балкон
(to) bite, bit, bitten	- кусать
bone	- кость
(to) break, broke, broken	- ломать
brightly	- ярко
(to) bring back	- вернуть, принести обратно
 (to) burn	- гореть, обжигать
cake	- торт
candy store	- магазин сладостей
(to) chew on	- жевать (что-либо)
chocolate chip	- шоколадная крошка
(to) choke on	- подавиться чем-либо
coach	- тренер
(to) complete	- завершать
(to) consider	- рассматривать, обдумывать
curly	- кучерявый, кудрявый
days gone by	- былые времена
(to) decide	- принимать решение
(to) delay	- откладывать
delicious	- очень вкусный
(to) discuss	- обсуждать
(to) dislike	- не нравиться
(to) do the tango	- танцевать танго
empty	- пустой
(to) enjoy	- получать удовольствие
experience	- опыт
facebook status	- статус в facebook
facial hair	- волосы на лице
fancy	- необычный, модный
favorite	- любимый
field	- поле
finger	- палец
(to) finish	- заканчивать
(to) fly a kite	- запускать воздушного змея
for a while	- на протяжении некоторого
времени
forest	- лес
front teeth	- передние зубы
(to) get a black eye	- получить синяк под глазом
(to) give up	- сдаваться, бросать
(to) go back to school	- вернуться в школу, университет
(to) go on a diet	- сесть на диету
(to) go out (about lights)	- гаснуть (про свет)
(to) guess	- угадать
Haven't you heard?	- Разве ты не слышал?
(to) head to	- направиться к
homemade	- домашний, сделанный по домашнему рецепту
hometown	- родной город
How did that happen?	- Как это случилось?
I have been meaning to ask you	- Я давно хотел тебя спросить
I keep forgetting to ask you	- Я все время забываю тебя спросить
I keep meaning to ask you	- Я все хочу спросить тебя
I'm sorry to hear that	- Мне жаль это слышать
in a long time	- в течение длительного
времени
in years	- годами
(to) injure	- повредить, поранить
jellyfish	- медуза
(to) keep	- продолжать
kite	- воздушный змей
knee	- колено
(to) knit	- вязать (спицами, крючком)
(to) knock on the door	- постучать в дверь
lake	- озеро
(to) lose, lost, lost	- терять, проиграть
magic trick	- фокус
makeup	- макияж
memory	- воспоминание
(to) mention	- упоминать
merry-go-round	; карусель
(to) miss	- скучать
(to) move out of	- выехать из, переехать из
nap	- короткий сон
nearby	- близлежащий
neighborhood	- окрестность, район
nostalgic	- ностальгический
(to) not mind	- быть не против, не возражать
NYC	- город Нью-Йорк
oven	- печь, духовка
owner	- владелец
(to) pass by	- пройти мимо
piece	- кусок
(to) practice	- практиковать(ся)
(to) put off	- отложить на время
 (to) quit, quit, quit - бросить (что-то делать)
rabbit	- кролик
(to) remember	- помнить
(to) rip	- порвать с силой
(to) rob	- грабить
roller coaster	- аттракцион "американские горки"
(to) run into	- случайно натолкнуться
salmon	- лосось
same	- такой же
(to) say "hello"	- поздороваться
several	- несколько
(to) shine, shone, shone	- сиять, светить
(to) sing opera	- петь в опере
(to) ski down a mountain	- спускаться на лыжах с горы
special	- особенный
spices	- специи
(to) sprain	- растянуть (сухожилие, мышцу)
(to) start one's own business	- начать свое собственное дело
steak bone	- косточка с мясом
(to) sting, stung, stung	- жалить
(to) stop	- прекратить
(to) suggest	- предложить
(to) support	- поддержать
(to) take a nap	- вздремнуть
(to) take a trip	- отправиться в путешествие
tenth-grade science	teacher; учитель естественных наук в десятом классе
(to) travel around	- путешествовать по
(to) twist	- вывихнуть
(to) update	- обновлять
voice	- голос
(to) waste	- тратить впустую
(to) wear makeup	- носить макияж
(to) work out	- тренироваться
(to) wrench	- "сорвать" повредить
(to) wrestle	- заниматься борьбой
wrist	- запястье
