a little too heavy	- немного полноват
advanced	- продвинутый
(to) advise	- советовать
(to) agree	- соглашаться
(to) arrange	- устраивать, договариваться
biscuit	- печенье, бисквит
brunch	- завтрак совмещенный с обедом
buddy	- приятель
butter	- масло
campus	- студенческий городок
candy	- конфеты
(to) celebrate	- праздновать
checkup	- осмотр у доктора
clown	- клоун
(to) consider	- рассматривать, обдумывать
convenient	- удобный
cool	- крутой, потрясный, клевый
copy machine	- копировальный аппарат
delicious	- очень вкусный, восхитительный
(to) deny	- отрицать
depressing	- унылый
dill	- укроп
diner	- ресторан семейного типа
(to) do sports	- заниматься спортом
Don't I know you from somewhere?	- Я вас откуда-то знаю?
 (to) download	- скачивать
(to) dress up	- одеваться нарядно
ex	- бывший
farmer's market	- фермерский рынок
fatty	- жирный
filling	- начинка
French fries	- картофель фри
fruit	- фрукты
fun	- веселый, забавный
funny	- смешной
(to) get a ticket for speeding - получить штраф за превышение скорости
(to) give up	- бросить, перестать (что-то делать)
grapefruit	- грейпфрут
hamburger	- гамбургер
(to) hang out	- тусоваться
(to) have doubts	- иметь сомнения
How about you?	- А у тебя?
How about yourself?	- Как насчет тебя?
How have you been?	- Как твои дела?
I have been meaning to call you	- я давно хотел позвонить тебе
I have no idea	- я не имею ни малейшего представления
if it isn't		- кого я вижу...
Independence Day	- день независимости
information on	- информация о
It's nice to see you again.	- Рад снова тебя видеть.
junk food	- нездоровая пища
(to) keep, kept, kept	- продолжать
lean	- постный
local	- местный
(to) lose, lost, lost	- терять
loved one	- любимый человек
margarine	- маргарин
math	- математика
meat	- мясо
milkshake	- молочный коктейль
negligent	- халатный, беспечный
neighborhood	- окрестности
on one's way	- по пути на
organic	- органический
overseas	- за рубежом
parsley	- петрушка
(to) plant	- сажать
(to) post	- публиковать
potato chips	- картофельные чипсы
(to) prefer	- предпочитать
protein	- белок
(to) purchase	- приобретать
(to) put someone on a diet	- посадить кого-то на диету
(to) quit, quit, quit	- бросать, переставать (что-то делать)
(to) recycle	- утилизировать
(to) refuse	- отказаться от
relaxing	- расслабляющий
(to) replace	- заменить
rice	- рис
rich dessert	- калорийный десерт
(to) risk	- рисковать
(to) ruin	- испортить
scary	- жуткий, страшный
senior citizen	- пожилой человек
sheet	- простынь
silk	- шелк, шелковый
simple	- простой
skim milk	- нежирное молоко
(to) skype	- говорить по скайпу
smart	- умный
social network	- социальная сеть
stage	- сцена
(to) stress out	- переживать
stupid	- глупый
subway	- метро
(to) sunbathe	- загорать
(to) surf the web	- искать в интернете
(to) take a class	- пройти курс чего-либо
(to) take a loan	- взять кредит
(to) take care of	- заботиться о
text	-текстовое сообщение, смс
thoughtful	- заботливый, внимательный
time-consuming	- отнимающий много времени
tissue	- бумажная салфетка
toner	-тонер
Valentine's day	- День святого Валентина
vet	- ветеринар
watermelon	- арбуз
weight	- вес
(to) work out	- тренироваться в зале
(to) worry	- беспокоиться
yogurt	- йогурт
