Admit it!	- Признай это!
adventurous	- авантюрный, любящий приключения
all right	- хорошо
(to) arrange	- устраивать, организовывать
artistic	- артистичный
(to) attend	- посещать
(to) be gone	- уйти, уехать, исчезнуть, отсутствовать
 (to) be out of town	- быть не в городе
beret	- берет
(to) break into	- проникнуть в, взломать дверь в
buddy	- приятель
(to) build up	- создавать, построить
burglar	- взломщик, грабитель
can't help	- не в состоянии удержаться
can't stand	- не выносить, не в состоянии терпеть
(to) catch up on	- наверстать упущенное в
certainly	- конечно
(to) cheat	- списывать, обманывать
client network	- клиентская сеть
Come on!	- Да ладно!
(to) come up with	- придумать
 (to) decorate	- украшать
decoration	- украшение
dill	- укроп
(to) disagree	- не соглашаться
dishwasher	- посудомоечная машина
(to) download	- скачивать с интернета
elderly	- пожилой
energy	- энергия
extended	- расширенный
Face it!	- Посмотри правде в глаза!
fancy	- модный, нарядный
(to) feel like	- хотеться
finals	- выпускные экзамены
first class	- бизнес классом, первым классом
fun	- веселый, веселье
(to) get a ticket for speeding	- получить штраф за превы шение скорости
(to) get distracted	- отвлекаться
(to) give someone a break	- дать кому-то перерыв, передышку
(to) give yourself a break	- дать себе самому перерыв, передышку
(to) go snowboarding	- кататься на сноуборде
gossip	- сплетни
(to) have a difficult time	- иметь трудности
 (to) have a good time	- хорошо провести время
(to) have a great time	- прекрасно провести время
(to) have a hard time	- испытывать трудности с
(to) have a terrible time	- ужасно провести время
(to) have an amazing time	- удивительно провести время
(to) have no trouble	- не испытывать никаких трудностей
(to) have things to do	- есть чем заняться
I couldn't agree with you more. - Не могу с вами не согласиться.
I'm convinced	- я убежден
I'm positive	- я уверен
I'm sure	- я уверен
is another option	-другой вариант
it's no good	- нет ничего хорошего в том, чтобы
it's no use	- это бесполезно
it's worth	- это стоит того, чтобы
laundromat	- прачечная
(to) load	- загружать
(to) look forward to	- с нетерпением ждать
(to) lose, lost, lost	- терять
lotion formula	- формула крема
lunch break	- перерыв на обед
(to) mend	- чинить, штопать
messy	- беспорядочный, неопрятный
nationwide	- общенациональный
network	- сеть
(to) not mind	- быть не против
on one's way	- по пути куда-то
online	- в интернете
option	- опция, вариант
(to) organize	- организовывать
outfit	- наряд
parachute	- парашют
parsley	- петрушка
(to) pick	- собирать, срывать
(to) pick up	- забрать, взять, купить
picnic	- пикник
pirated movies	- пиратские фильмы
(to) pre-pay	; предварительно оплачивать
precious	- драгоценный
(to) pull a prank on	- сыграть злую шутку над
quiz	- викторина
refreshing	- освежающий
regular	- обычный
retirement home	-дом престарелых
(to) roast	- жарить, обжаривать
robbery	- ограбление
(to) set up a blind date	- устроить свидание с незнакомым человеком
(to) sign	- подписать
(to) sign up for	- записаться на
sleep time	- время сна
sociable	- общительный
(to) stay up late	- не ложиться спать допоздна
tenant	- арендатор
Thanksgiving	- Благодарение
That just isn't so!	- Это вовсе не так!
That's not true!	- Это неверно!
That's wrong!	- Это неправильно!
time-consuming	; требующий много времени
ton	- тонна, уйма, масса
turkey	- индейка
unfair	- несправедливый
unfamiliar	- незнакомый
unfortunate	- несчастный
useful	- полезный
useless	- бесполезный
(to) volunteer	- быть волонтером
warranty	- гарантия
wash dishes by hand	- мыть посуду вручную
(to) waste	- тратить впустую
(to) watch one's kids	- присматривать за чьими-то детьми
(to) write out	- выписывать
You're mistaken!	- Ты ошибаешься!
You're wrong!	- Ты не прав!
