alone	- один, в одиночестве
another	- другой, еще один
application form	- анкета, заявление
(to) back up	- сделать резервную копию, подстраховать
(to) borrow	- брать в долг, заимствовать
borrowed	- взятый взаймы, одолженный
business plan	- бизнес-план
(to) call back	- перезвонить
(to) call off	- отменять
(to) choose, chose, chosen	- выбирать
 (to) cross out	- вычеркнуть, зачеркнуть
curious	- любопытный
(to) cut down	- срезать, спилить
data	- данные
deadline	- крайний срок, срок сдачи
(to) double	- удваивать
dry	- сухой, засохший
essay	- сочинение, эссе
every two months	- каждые два месяца
fence	- забор
(to) figure out	- разобраться, понять
file	- файл
(to) fill out	- заполнять
food	-еда
for the week	- на эту неделю
(to) forget, forgot, forgotten	- забыть
(to) get sick	- заболеть
 (to) give back	- отдать обратно
 (to) hand in	- сдать
home assignment	- домашнее задание
important	- важный
in a relationship	- в отношениях
laundry	- стирка, белье для стирки, белье из стирки
lipstick	- губная помада
(to) look	- выглядеть
(to) look for a job	- искать работу
(to) look up	- посмотреть
(to) lose, lost, lost	- потерять
loyal to somebody / something ; верен кому-то / чему-то
Maybe some other time?		- Может в другой раз?
midterm	; средне-семестровый
missed call	- пропущенный звонок
model	- модель
(to) plan	- планировать
point	- очко, балл
polite	- вежливый
pretty	- симпатичный, хорошенький
project	- проект
(to) put off	- откладывать во времени
puzzle	- головоломка
(to) relax	- расслабиться
(to) run away with	- убежать с кем-то
science class	- урок естествознания
several	- несколько
sneaker	- кроссовок
Sounds good.	- Звучит хорошо.
spelling mistakes	- орфографические ошибки
spray paint	- аэрозольная краска, краска в баллончике
staff meeting	- собрание персонала
startup	; стартап-компания, недавно созданная компания
supervisor	- руководитель
(to) take back	- принести обратно, отдать туда, откуда взяли
Talk to you later.	- Поговорим позже.
tattoo	- татуировка
team	- команда
tense marker	- временной маркер
that's because	- это потому что
that's why	- вот почему
thought	- мысль
(to) throw a party - организовывать вечеринку
translation	- перевод
tree		- дерево
unfamiliar	- незнакомый
(to) update	- обновить
USB stick	- флешка
(to) use	- использовать
vacation	- отпуск
vampire	- вампир
(to) water	- поливать
What are your thoughts about...?	- Какие у вас есть мысли о...?
word	- слово
workaholic	-трудоголик
workout	-тренировка
(to) write down	-записывать
wrong	- неправильный
zombie	- живой мертвец, зомби
