alibi	- алиби
another	- другой, еще один
apple pie	- яблочный пирог
as a child	- будучи ребенком
audience	- аудитория, публика
Awesome!	- Потрясающе! Классно!
(to) back up	- сделать резервную копию,подстраховать
(to) bake	- печь, выпекать
bedtime story	- сказка на ночь
(to) believe	- верить, полагать
blood	- кровь
(to) catch, caught, caught	- ловить
century	- век, столетие
(to) change	- поменять, изменить
(to) change the oil	- менять масло
(to) chat	- болтать
(to) check	- проверять
cheesecake	- чизкейк, сырный торт
Christmas decorations	- рождественские украшения
(to) climb	- лезть, карабкаться
conference	- конференция
cotton candy	- сахарная вата
cousin	-двоюродная сестра или брат
(to) decorate	- украшать, декорировать
(to) defrost	- размораживать
detective	- детектив
different	- другой, разный
downtown	- центр города
experience	- опыт
(to) feed	- кормить
fence	- забор
financial report	- финансовый отчет
fountain	- фонтан
furniture	- мебель
garden furniture	- садовая мебель
(to) get out	- выходить
(to) give blood	- сдавать кровь
hair color	- цвет волос
hamster	- хомяк
I guess I made a mistake.	- Полагаю, я допустил ошибку.
in front of	- перед
in the future	- в будущем
It wasn't me.	- Это был(а) не я.
Junior	-Джуниор, Младший
laundry	- белье в стирку
lawn	- лужайка, газон
meanwhile	- между тем, тем временем
modern	- современный
monkey	- обезьяна
monthly report	- месячный отчет
(to) mow	- срезать траву, косить
musician	- музыкант
normal	- обычный, нормальный
on the subway	- в метро
optimistic	- оптимистичный
(to) paint	- красить
peanut	- орешек арахиса
(to) pick up	- забирать, покупать
(to) play the violin	- играть на скрипке
(to) practice	- практиковать, тренироваться
public transportation	- общественный транспорт
recipe	- рецепт
refrigerator	- холодильник
saxophone	- саксофон
(to) shampoo	- мыть шампунем
(to) shine, shone, shone	- сиять
shy	- застенчивый
spring	- весна
squirrel	- белка
staff meeting	- собрание персонала
(to) steal, stole, stolen	- красть, воровать
strange	- странный
summer camp	- летний лагерь
supervisor	- руководитель
surprised	- удивленный
(to) take a good photo	- сделать хорошую фотографию
That is great!	-Отлично! Прекрасно!
the sun	- сол н це
tires	- шины
toy	- игрушка
(to) use	- использовать, пользоваться
used	- подержанный, б/у
vegetarian	- вегетарианец
village	-деревня
(to) walk a monkey	- гулять с обезьяной
(to) walk through	- проходить через/по
wedding	- свадьба
weird	- странный
whiskey	- виски
