to be, was, were, been; быть, являться
to beat, beat, beaten; бить, колотить
to become, became, become; становиться
to begin, began, begun; начинать
to bend, bent, bent; гнуть
to bite, bit, bitten; кусать
to bleed, bled, bled;  кровоточить
to blow, blew, blown; дуть, выдыхать
to break, broke, broken; ломать, разбивать, разрушать
to bring, brought, brought; приносить, привозить, доставлять
to build, built, built; строить, сооружать
to buy, bought, bought; покупать, приобретать
to catch, caught, caught; ловить, поймать, схватить
to choose, chose, chosen; выбирать, избирать
to come, came, come; приходить, подходить
to cost, cost, cost; стоить, обходиться
to cut, cut, cut; резать, разрезать
to deal, dealt, dealt; иметь дело, распределять
to dig, dug, dug; копать, рыть
to do, did, done; делать, выполнять
to draw, drew, drawn; рисовать, чертить
to drink, drank, drunk; пить
to drive, drove, driven; ездить, подвозить
to eat, ate, eaten; есть, поглощать, поедать
to fall, fell, fallen; падать
to feed, fed, fed; кормить
to feel, felt, felt; чувствовать, ощущать
to fight, fought, fought; драться, сражаться, воевать
to find, found, found; находить, обнаруживать
to fit, fit, fit; подходить
to fly, flew, flown; летать
to forget, forgot, forgotten; забывать о (чём-либо)
to forgive, forgave, forgiven; прощать
to freeze, froze, frozen; замерзать, замирать
to get, got, got; получать, добираться
to give, gave, given; дать, подать, дарить
to go, went, gone; идти, двигаться
to grow, grew, grown; расти, вырастать
to hang, hung, hung; вешать, развешивать, висеть
to have, had, had; иметь, обладать
to hear, heard, heard; слышать, услышать
to hide, hid, hidden; прятать, скрывать
to hit, hit, hit; ударять, поражать
to hold, held, held; держать, удерживать, задерживать
to hurt, hurt, hurt; ранить, причинять боль, ушибить
to keep, kept, kept; хранить, сохранять, поддерживать
to know, knew, known; знать, иметь представление
to lay, laid, laid; класть, положить, покрывать
to lead, led, led; вести за собой, сопровождать, руководить
to leave, left, left; покидать, уходить, уезжать, оставлять
to lend, lent, lent; одалживать, давать взаймы (в долг)
to let, let, let; позволять, разрешать
to lie, lay, lain; лежать
to lose, lost, lost; терять, лишаться, утрачивать
to make, made, made; делать, создавать, изготавливать
to mean, meant, meant; значить, иметь в виду, подразумевать
to meet, met, met; встречать, знакомиться
to pay, paid, paid; платить, оплачивать, рассчитываться
to put, put, put; ставить, помещать, класть
to quit, quit, quit; покидать, оставлять
to read, read, read; читать, прочитать
to vride, rode, ridden; ехать верхом, кататься
to ring, rang, rung; звенеть, звонить
to rise, rose, risen; восходить, вставать, подниматься
to run, ran, run; бежать, бегать
to say, said, said; говорить, сказать, произносить
to see, saw, seen; видеть
to sell, sold, sold; продавать, торговать
to send, sent, sent; посылать, отправлять, отсылать
to set, set, set; устанавливать, задавать, назначать
to sew, sewed, sewn; шить
to shake, shook, shaken; трясти, встряхивать
to shoot, shot, shot; стрелять
to shine, shone, shone; светить, сиять, озарять
to show, showed, shown; показывать
to shut, shut, shut; закрывать, запирать, затворять
to sing, sang, sung; петь, напевать
to sit, sat, sat; сидеть, садиться
to sleep, slept, slept; спать
to speak, spoke, spoken; говорить, разговаривать, высказываться
to spend, spent, spent; тратить, расходовать, проводить (время)
to spread, spread, spread; распространиться
to stand, stood, stood; стоять
to steal, stole, stolen; воровать, красть
to stick, stuck, stuck; втыкать, приклеивать
to sting, stung, stung; жалить, ужалить
to strike, struck, stricken; ударять, бить, поражать
to swear, swore, sworn; клясться, присягать
to sweep, swept, swept; мести, подметать, смахивать
to swim, swam, swum; плавать, плыть
to take, took, taken; брать, хватать, взять
to teach, taught, taught; учить, обучать
to tear, tore, torn; рвать, отрывать
to tell, told, told; рассказывать
to think, thought, thought; думать, мыслить, размышлять
to throw, threw, thrown; бросать, кидать, метать
to understand, understood, understood; понимать, постигать
to wake, woke, woken; просыпаться, будить
to wear, wore, worn; носить (одежду)
to win, won, won; победить, выиграть
to wind, wound, wound; заводить (механизм)
to write, wrote, written; писать, записывать
